S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,69.32,256.00,267.20,256.00,261.30,261.30,0.00,0.00,262.43,57332.00,261.00,15045854.60,314,0.30,11.20,0.11,4.38,-0.43,355.80,224.00
2,CZBIL,62.80,190.00,193.80,187.00,188.00,188.00,0.00,0.00,188.57,57740.00,188.90,10887953.90,247,-0.90,6.80,-0.48,3.64,-0.30,224.00,158.90
3,EBL,58.26,554.00,560.00,543.90,545.00,545.00,0.00,0.00,548.53,43879.00,546.00,24068783.20,244,-1.00,16.10,-0.18,2.96,-0.65,633.00,427.20
4,GBIME,69.84,208.00,216.20,206.00,211.00,211.00,0.00,0.00,210.82,335098.00,204.00,70645540.00,1069,7.00,10.20,3.43,4.95,0.09,241.90,176.00
5,HBL,64.50,223.00,223.00,210.20,216.40,216.40,0.00,0.00,217.44,91596.00,218.90,19916652.50,441,-2.50,12.80,-1.14,6.09,-0.48,369.30,193.00
6,KBL,67.36,168.00,170.10,167.00,169.00,169.00,0.00,0.00,168.72,237103.00,168.00,40003787.40,598,1.00,3.10,0.60,1.86,0.17,211.60,148.20
7,LSL,58.64,205.20,207.20,204.00,205.00,205.00,0.00,0.00,205.21,129858.00,204.00,26647664.00,333,1.00,3.20,0.49,1.57,-0.10,207.20,172.10
8,MBL,63.91,213.00,218.40,213.00,215.50,215.50,0.00,0.00,215.82,78841.00,214.20,17015395.20,309,1.30,5.40,0.61,2.54,-0.15,283.00,179.00
9,NABIL,63.53,525.00,528.00,518.60,520.00,520.00,0.00,0.00,521.00,145825.00,518.00,75974172.10,1269,2.00,9.40,0.39,1.81,-0.19,865.00,493.00
10,NBL,67.63,259.40,259.70,253.00,255.00,255.00,0.00,0.00,255.40,144208.00,254.40,36830052.40,453,0.60,6.70,0.24,2.65,-0.16,307.00,231.20
11,NICA,67.46,532.00,549.80,532.00,545.00,545.00,0.00,0.00,543.91,99290.00,530.00,54004935.10,708,15.00,17.80,2.83,3.35,0.20,861.90,490.10
12,NIMB,64.78,185.10,188.90,185.00,188.30,188.30,0.00,0.00,186.98,163849.00,186.70,30636332.50,579,1.60,3.90,0.86,2.11,0.70,232.20,168.00
13,NMB,62.58,210.00,216.90,210.00,213.00,213.00,0.00,0.00,214.01,58663.00,214.20,12554326.40,276,-1.20,6.90,-0.56,3.29,-0.47,268.20,192.50
14,PCBL,68.87,207.00,211.50,205.60,211.10,211.10,0.00,0.00,209.32,234805.00,206.10,49149238.70,596,5.00,5.90,2.43,2.87,0.84,247.00,176.00
15,PRVU,63.23,177.90,179.00,174.00,177.00,177.00,0.00,0.00,176.08,183739.00,176.40,32353078.40,728,0.60,5.00,0.34,2.87,0.52,228.00,152.30
16,SANIMA,62.99,275.00,276.00,268.10,270.00,270.00,0.00,0.00,272.84,64555.00,269.70,17613247.90,377,0.30,7.90,0.11,2.95,-1.05,310.00,222.10
17,SBI,53.12,326.90,326.90,317.10,320.00,320.00,0.00,0.00,319.57,43320.00,321.00,13843561.70,110,-1.00,9.80,-0.31,3.09,0.14,378.40,270.00
18,SBL,62.18,265.00,280.50,265.00,268.00,268.00,0.00,0.00,270.37,61636.00,270.00,16664657.00,223,-2.00,15.50,-0.74,5.85,-0.89,341.50,223.00
19,SCB,59.94,541.60,549.00,527.00,527.10,527.10,0.00,0.00,532.20,24345.00,531.00,12956443.90,214,-3.90,22.00,-0.73,4.17,-0.97,582.00,396.00
