S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,427.00,431.00,425.00,428.00,428.00,0.00,0.00,427.99,11993.00,427.00,5132940.00,65,1.00,6.00,0.00,1.41,0.00,0.00,0.00
2,CZBIL,-,295.00,298.00,290.00,293.00,293.00,0.00,0.00,293.42,13126.00,295.00,3851473.00,82,-2.00,8.00,0.00,2.76,-0.14,0.00,0.00
3,EBL,-,1199.00,1216.00,1198.00,1198.00,1198.00,0.00,0.00,1202.74,7058.00,1199.00,8488936.00,54,-1.00,18.00,0.00,1.50,-0.40,0.00,0.00
4,GBIME,-,375.00,378.00,374.00,375.00,375.00,0.00,0.00,375.28,14881.00,375.00,5584579.00,71,0.00,4.00,0.00,1.07,-0.08,0.00,0.00
5,HBL,-,860.00,874.00,856.00,857.00,857.00,0.00,0.00,863.62,1691.00,860.00,1460376.00,14,-3.00,18.00,0.00,2.10,-0.77,0.00,0.00
6,KBL,-,295.00,296.00,290.00,295.00,295.00,0.00,0.00,293.82,21811.00,295.00,6408477.00,67,0.00,6.00,0.00,2.07,0.40,0.00,0.00
7,MBL,-,315.00,317.00,306.00,314.00,314.00,0.00,0.00,310.78,15348.00,315.00,4769830.00,46,-1.00,11.00,0.00,3.59,1.03,0.00,0.00
8,NABIL,-,1205.00,1209.00,1199.00,1200.00,1200.00,0.00,0.00,1201.92,5616.00,1205.00,6749975.00,71,-5.00,10.00,0.00,0.83,-0.16,0.00,0.00
9,NBL,-,341.00,345.00,338.00,343.00,343.00,0.00,0.00,342.80,14615.00,341.00,5009950.00,47,2.00,7.00,0.00,2.07,0.06,0.00,0.00
10,NICA,-,346.00,351.00,342.00,351.00,351.00,0.00,0.00,348.45,8660.00,346.00,3017574.00,49,5.00,9.00,0.00,2.63,0.73,0.00,0.00
11,NMB,-,470.00,474.00,465.00,467.00,467.00,0.00,0.00,467.96,4347.00,470.00,2034208.00,40,-3.00,9.00,0.00,1.94,-0.20,0.00,0.00
12,PCBL,-,430.00,434.00,423.00,429.00,429.00,0.00,0.00,431.40,8315.00,430.00,3587100.00,64,-1.00,11.00,0.00,2.60,-0.56,0.00,0.00
13,PRVU,-,365.00,368.00,361.00,365.00,365.00,0.00,0.00,365.39,9572.00,365.00,3497546.00,62,0.00,7.00,0.00,1.94,-0.11,0.00,0.00
14,SANIMA,-,330.00,336.00,328.00,330.00,330.00,0.00,0.00,331.17,9574.00,330.00,3170668.00,77,0.00,8.00,0.00,2.44,-0.36,0.00,0.00
15,SBI,-,800.00,816.00,800.00,806.00,806.00,0.00,0.00,810.37,4328.00,800.00,3507261.00,37,6.00,16.00,0.00,2.00,-0.54,0.00,0.00
16,SBL,-,406.00,410.00,400.00,405.00,405.00,0.00,0.00,405.00,10837.00,406.00,4388987.00,71,-1.00,10.00,0.00,2.50,0.00,0.00,0.00
17,SCB,-,2091.00,2120.00,2075.00,2100.00,2100.00,0.00,0.00,2097.07,5125.00,2091.00,10747470.00,129,9.00,45.00,0.00,2.17,0.14,0.00,0.00
