S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,477.00,475.00,470.00,475.00,475.00,0.00,0.00,473.39,1170.00,477.00,553870.00,6,-2.00,5.00,0.00,1.06,0.34,0.00,0.00
2,CZBIL,-,541.00,541.00,535.00,539.00,539.00,0.00,0.00,539.03,6289.00,541.00,3389973.00,17,-2.00,6.00,0.00,1.12,-0.01,0.00,0.00
3,EBL,-,2770.00,2770.00,2700.00,2705.00,2705.00,0.00,0.00,2704.66,6692.00,2770.00,18099564.00,35,-65.00,70.00,0.00,2.59,0.01,0.00,0.00
4,GBIME,-,408.00,407.00,402.00,404.00,404.00,0.00,0.00,404.23,6929.00,408.00,2800901.00,24,-4.00,5.00,0.00,1.24,-0.06,0.00,0.00
5,HBL,-,1315.00,1302.00,1275.00,1299.00,1299.00,0.00,0.00,1296.90,3763.00,1315.00,4880220.00,20,-16.00,27.00,0.00,2.12,0.16,0.00,0.00
6,KBL,-,413.00,421.00,408.00,415.00,415.00,0.00,0.00,411.65,7733.00,413.00,3183283.00,16,2.00,13.00,0.00,3.19,0.81,0.00,0.00
7,NABIL,-,2310.00,2305.00,2275.00,2305.00,2305.00,0.00,0.00,2285.76,911.00,2310.00,2082325.00,7,-5.00,30.00,0.00,1.32,0.83,0.00,0.00
8,NBL,-,272.00,276.00,265.00,276.00,276.00,0.00,0.00,270.59,40169.00,272.00,10869370.00,57,4.00,11.00,0.00,4.15,1.96,0.00,0.00
9,NICA,-,889.00,874.00,860.00,874.00,874.00,0.00,0.00,868.45,3025.00,889.00,2627063.00,19,-15.00,14.00,0.00,1.63,0.63,0.00,0.00
10,PCBL,-,598.00,590.00,574.00,588.00,588.00,0.00,0.00,585.32,3435.00,598.00,2010587.00,14,-10.00,16.00,0.00,2.79,0.46,0.00,0.00
11,SANIMA,-,645.00,642.00,638.00,640.00,640.00,0.00,0.00,639.89,3020.00,645.00,1932470.00,13,-5.00,4.00,0.00,0.63,0.02,0.00,0.00
12,SBI,-,1350.00,1375.00,1325.00,1354.00,1354.00,0.00,0.00,1349.71,1527.00,1350.00,2061008.00,12,4.00,50.00,0.00,3.77,0.32,0.00,0.00
13,SBL,-,686.00,686.00,680.00,686.00,686.00,0.00,0.00,683.33,900.00,686.00,615000.00,3,0.00,6.00,0.00,0.88,0.39,0.00,0.00
14,SCB,-,2590.00,2590.00,2505.00,2530.00,2530.00,0.00,0.00,2527.84,1544.00,2590.00,3902984.00,14,-60.00,85.00,0.00,3.39,0.09,0.00,0.00
