S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,595.00,594.00,584.00,590.00,590.00,0.00,0.00,590.03,10270.00,595.00,6059581.00,43,-5.00,10.00,0.00,1.71,0.00,0.00,0.00
2,CZBIL,-,633.00,639.00,632.00,634.00,634.00,0.00,0.00,635.14,10988.00,633.00,6978928.00,59,1.00,7.00,0.00,1.11,-0.18,0.00,0.00
3,EBL,-,2380.00,2400.00,2380.00,2390.00,2390.00,0.00,0.00,2387.11,3882.00,2380.00,9266778.00,36,10.00,20.00,0.00,0.84,0.12,0.00,0.00
4,GBIME,-,477.00,479.00,470.00,470.00,470.00,0.00,0.00,471.87,10744.00,477.00,5069773.00,49,-7.00,9.00,0.00,1.91,-0.40,0.00,0.00
5,HBL,-,991.00,1030.00,999.00,1000.00,1000.00,0.00,0.00,1017.99,8435.00,991.00,8586775.00,41,9.00,31.00,0.00,3.10,-1.80,0.00,0.00
6,NABIL,-,1935.00,1935.00,1915.00,1919.00,1919.00,0.00,0.00,1921.94,3886.00,1935.00,7468657.00,30,-16.00,20.00,0.00,1.04,-0.15,0.00,0.00
7,NBL,-,331.00,337.00,329.00,333.00,333.00,0.00,0.00,334.00,44997.00,331.00,15029004.00,66,2.00,8.00,0.00,2.43,-0.30,0.00,0.00
8,NICA,-,726.00,732.00,722.00,722.00,722.00,0.00,0.00,725.69,17546.00,726.00,12732978.00,80,-4.00,10.00,0.00,1.39,-0.51,0.00,0.00
9,NMB,-,480.00,494.00,480.00,485.00,485.00,0.00,0.00,484.36,15360.00,480.00,7439822.00,55,5.00,14.00,0.00,2.92,0.13,0.00,0.00
10,PCBL,-,513.00,530.00,510.00,510.00,510.00,0.00,0.00,516.83,12864.00,513.00,6648468.00,59,-3.00,20.00,0.00,3.92,-1.34,0.00,0.00
11,SANIMA,-,738.00,745.00,729.00,735.00,735.00,0.00,0.00,732.92,35118.00,738.00,25738784.00,121,-3.00,16.00,0.00,2.19,0.28,0.00,0.00
12,SBI,-,1442.00,1480.00,1450.00,1455.00,1455.00,0.00,0.00,1466.24,11807.00,1442.00,17311906.00,71,13.00,30.00,0.00,2.07,-0.77,0.00,0.00
13,SCB,-,2760.00,2775.00,2751.00,2755.00,2755.00,0.00,0.00,2759.07,4865.00,2760.00,13422860.00,34,-5.00,24.00,0.00,0.87,-0.15,0.00,0.00
