S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,472.00,485.00,467.00,471.00,471.00,0.00,0.00,470.45,24705.00,472.00,11622539.00,109,-1.00,18.00,0.00,3.85,0.12,0.00,0.00
2,CZBIL,-,427.00,430.00,422.00,427.00,427.00,0.00,0.00,424.68,24873.00,427.00,10563083.00,88,0.00,8.00,0.00,1.90,0.54,0.00,0.00
3,EBL,-,2045.00,2100.00,2030.00,2075.00,2075.00,0.00,0.00,2076.17,16618.00,2045.00,34501764.00,116,30.00,70.00,0.00,3.45,-0.06,0.00,0.00
4,GBIME,-,403.00,410.00,399.00,408.00,408.00,0.00,0.00,405.05,14367.00,403.00,5819415.00,52,5.00,11.00,0.00,2.76,0.72,0.00,0.00
5,HBL,-,1005.00,1030.00,1000.00,1020.00,1020.00,0.00,0.00,1013.65,4206.00,1005.00,4263410.00,28,15.00,30.00,0.00,3.00,0.62,0.00,0.00
6,KBL,-,371.00,385.00,368.00,372.00,372.00,0.00,0.00,373.57,28563.00,371.00,10670241.00,82,1.00,17.00,0.00,4.62,-0.42,0.00,0.00
7,MBL,-,420.00,431.00,414.00,423.00,423.00,0.00,0.00,420.27,64725.00,420.00,27201660.00,184,3.00,17.00,0.00,4.11,0.65,0.00,0.00
8,NABIL,-,1568.00,1575.00,1550.00,1575.00,1575.00,0.00,0.00,1560.38,8280.00,1568.00,12919959.00,70,7.00,25.00,0.00,1.61,0.93,0.00,0.00
9,NBL,-,502.00,507.00,495.00,502.00,502.00,0.00,0.00,500.97,275865.00,502.00,138199456.00,734,0.00,12.00,0.00,2.42,0.21,0.00,0.00
10,NICA,-,480.00,485.00,476.00,482.00,482.00,0.00,0.00,480.64,7953.00,480.00,3822523.00,35,2.00,9.00,0.00,1.89,0.28,0.00,0.00
11,NMB,-,620.00,669.00,620.00,667.00,667.00,0.00,0.00,644.37,50634.00,620.00,32627052.00,177,47.00,49.00,0.00,7.90,3.39,0.00,0.00
12,PCBL,-,450.00,470.00,446.00,469.00,469.00,0.00,0.00,456.37,27346.00,450.00,12479982.00,122,19.00,24.00,0.00,5.38,2.69,0.00,0.00
13,PRVU,-,415.00,420.00,412.00,417.00,417.00,0.00,0.00,414.72,95667.00,415.00,39675124.00,272,2.00,8.00,0.00,1.94,0.55,0.00,0.00
14,SANIMA,-,480.00,487.00,474.00,482.00,482.00,0.00,0.00,481.22,101435.00,480.00,48812700.00,239,2.00,13.00,0.00,2.74,0.16,0.00,0.00
15,SBI,-,1425.00,1419.00,1382.00,1415.00,1415.00,0.00,0.00,1405.48,2855.00,1425.00,4012634.00,30,-10.00,37.00,0.00,2.68,0.67,0.00,0.00
16,SBL,-,724.00,740.00,716.00,740.00,740.00,0.00,0.00,731.57,26461.00,724.00,19358076.00,120,16.00,24.00,0.00,3.35,1.14,0.00,0.00
17,SCB,-,2298.00,2335.00,2295.00,2305.00,2305.00,0.00,0.00,2307.33,14531.00,2298.00,33527816.00,99,7.00,40.00,0.00,1.74,-0.10,0.00,0.00
