S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,30.92,423.00,427.00,423.00,427.00,427.00,0.00,0.00,425.51,20297.00,428.00,8636520.00,80,-1.00,4.00,-0.23,0.95,0.35,451.00,290.00
2,CZBIL,39.72,213.00,216.00,212.00,214.00,214.00,0.00,0.00,213.32,11279.00,214.00,2405998.00,50,0.00,4.00,0.00,1.89,0.32,273.00,199.00
3,EBL,50.42,649.00,655.00,645.00,655.00,655.00,0.00,0.00,649.12,6018.00,649.00,3906424.00,47,6.00,10.00,0.92,1.55,0.90,707.00,501.00
4,HBL,47.98,555.00,555.00,540.00,555.00,555.00,0.00,0.00,544.43,1935.00,560.00,1053473.00,22,-5.00,15.00,-0.89,2.78,1.90,644.00,418.00
5,KBL,45.78,202.00,205.00,200.00,203.00,203.00,0.00,0.00,201.17,26983.00,203.00,5428256.00,83,0.00,5.00,0.00,2.50,0.90,269.00,200.00
6,MBL,38.10,257.00,257.00,252.00,255.00,255.00,0.00,0.00,253.00,13021.00,257.00,3294332.00,29,-2.00,5.00,-0.78,1.98,0.78,295.00,201.00
7,NABIL,43.46,771.00,780.00,771.00,776.00,776.00,0.00,0.00,773.95,7386.00,777.00,5716394.00,60,-1.00,9.00,-0.13,1.17,0.26,984.00,678.00
8,NBL,43.42,325.00,326.00,320.00,322.00,322.00,0.00,0.00,321.57,75110.00,325.00,24153432.00,168,-3.00,6.00,-0.92,1.88,0.13,355.00,281.00
9,NICA,35.83,451.00,453.00,448.00,448.00,448.00,0.00,0.00,449.86,32538.00,454.00,14637539.00,154,-6.00,5.00,-1.32,1.12,-0.42,515.00,311.00
10,PCBL,39.89,277.00,277.00,273.00,275.00,275.00,0.00,0.00,274.47,7351.00,277.00,2017609.00,42,-2.00,4.00,-0.72,1.47,0.19,397.00,271.00
11,PRVU,38.40,268.00,268.00,263.00,267.00,267.00,0.00,0.00,264.63,40290.00,266.00,10661936.00,182,1.00,5.00,0.38,1.90,0.89,304.00,177.00
12,SANIMA,47.02,347.00,357.00,346.00,350.00,350.00,0.00,0.00,348.07,14300.00,350.00,4977379.00,56,0.00,11.00,0.00,3.18,0.55,371.00,286.00
13,SBI,52.92,450.00,453.00,443.00,453.00,453.00,0.00,0.00,447.29,11045.00,445.00,4940357.00,35,8.00,10.00,1.80,2.26,1.26,530.00,366.00
14,SBL,32.11,312.00,317.00,312.00,315.00,315.00,0.00,0.00,315.30,6923.00,316.00,2182831.00,35,-1.00,5.00,-0.32,1.60,-0.10,361.00,272.00
15,SCB,42.40,640.00,640.00,630.00,634.00,634.00,0.00,0.00,632.69,5168.00,638.00,3269742.00,70,-4.00,10.00,-0.63,1.59,0.21,755.00,520.00
