S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,30.88,293.50,296.00,293.10,295.00,295.00,0.00,0.00,293.63,16601.00,295.00,4874477.00,113,0.00,2.90,0.00,0.99,0.47,428.40,223.00
2,CZBIL,31.59,208.00,212.10,206.80,208.20,208.20,0.00,0.00,209.89,43613.00,208.50,9154036.60,165,-0.30,5.30,-0.14,2.56,-0.81,296.00,152.50
3,EBL,31.89,614.00,614.00,605.00,607.00,607.00,0.00,0.00,606.45,24854.00,609.60,15072827.40,158,-2.60,9.00,-0.43,1.49,0.09,790.00,487.30
4,GBIME,32.70,215.00,221.00,215.00,218.00,218.00,0.00,0.00,219.23,124839.00,219.20,27368057.10,474,-1.20,6.00,-0.55,2.79,-0.56,302.00,170.00
5,HBL,34.64,231.60,232.00,226.00,228.70,228.70,0.00,0.00,228.27,36233.00,231.70,8270900.90,196,-3.00,6.00,-1.29,2.65,0.19,312.10,167.10
6,KBL,35.70,196.00,203.00,196.00,199.50,199.50,0.00,0.00,200.16,138234.00,200.00,27668857.50,414,-0.50,7.00,-0.25,3.57,-0.33,272.90,129.60
7,LSL,50.62,217.00,223.20,215.00,217.20,217.20,0.00,0.00,218.56,159070.00,216.50,34766536.30,318,0.70,8.20,0.32,3.81,-0.63,300.00,143.60
8,MBL,35.00,230.50,235.10,225.80,227.00,227.00,0.00,0.00,227.52,77637.00,226.00,17664326.20,152,1.00,9.30,0.44,4.12,-0.23,295.00,157.80
9,NABIL,29.69,486.50,490.00,484.00,490.00,490.00,0.00,0.00,486.30,51838.00,486.30,25208899.60,466,3.70,6.00,0.76,1.24,0.75,700.00,419.00
10,NBL,35.57,253.50,254.00,250.20,252.00,252.00,0.00,0.00,251.72,46404.00,252.30,11680738.20,211,-0.30,3.80,-0.12,1.52,0.11,337.50,195.10
11,NICA,32.22,369.90,369.90,363.20,364.10,364.10,0.00,0.00,364.99,28859.00,366.00,10533106.80,288,-1.90,6.70,-0.52,1.84,-0.24,573.00,341.60
12,NIMB,30.46,207.00,213.00,207.00,210.20,210.20,0.00,0.00,210.66,87919.00,211.00,18521269.60,308,-0.80,6.00,-0.38,2.90,-0.22,295.00,147.40
13,NMB,31.18,238.00,245.90,238.00,241.00,241.00,0.00,0.00,241.25,52276.00,242.10,12611656.80,182,-1.10,7.90,-0.45,3.32,-0.10,300.00,162.00
14,PCBL,31.46,238.00,245.00,238.00,240.60,240.60,0.00,0.00,242.20,26308.00,242.20,6371790.80,119,-1.60,7.00,-0.66,2.94,-0.66,329.00,186.00
15,PRVU,31.34,220.00,220.90,216.10,218.00,218.00,0.00,0.00,217.83,149007.00,218.50,32457471.20,417,-0.50,4.80,-0.23,2.22,0.08,297.00,132.00
16,SANIMA,32.02,293.00,297.90,290.10,290.10,290.10,0.00,0.00,293.25,69863.00,292.90,20487586.50,197,-2.80,7.80,-0.96,2.69,-1.09,382.00,228.00
17,SBI,30.54,415.00,420.00,413.00,415.00,415.00,0.00,0.00,414.89,28709.00,414.00,11911130.60,87,1.00,7.00,0.24,1.69,0.03,549.00,268.60
18,SBL,37.25,275.00,283.70,275.00,279.50,279.50,0.00,0.00,278.38,37347.00,278.20,10396664.80,135,1.30,8.70,0.47,3.16,0.40,380.00,212.20
19,SCB,32.45,667.00,679.90,667.00,673.00,673.00,0.00,0.00,673.70,19389.00,675.00,13062360.30,128,-2.00,12.90,-0.30,1.93,-0.10,790.00,497.40
