S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,341.00,341.00,337.00,337.00,337.00,0.00,0.00,338.57,990.00,336.00,335180.00,8,1.00,4.00,0.30,1.19,-0.46,433.00,283.00
2,CZBIL,-,220.00,220.00,210.00,215.00,215.00,0.00,0.00,212.50,64093.00,224.00,13619846.00,275,-9.00,10.00,-4.02,4.76,1.16,304.00,210.00
3,EBL,-,531.00,532.00,517.00,528.00,528.00,0.00,0.00,519.69,6139.00,541.00,3190373.00,63,-13.00,15.00,-2.40,2.90,1.57,1194.00,515.00
4,GBIME,-,315.00,317.00,314.00,317.00,317.00,0.00,0.00,315.51,3521.00,315.00,1110897.00,32,2.00,3.00,0.63,0.96,0.47,344.00,275.00
5,HBL,-,505.00,511.00,505.00,511.00,511.00,0.00,0.00,508.07,774.00,504.00,393250.00,12,7.00,6.00,1.39,1.19,0.57,872.00,475.00
6,KBL,-,244.00,247.00,243.00,247.00,247.00,0.00,0.00,244.46,4328.00,244.00,1058012.00,24,3.00,4.00,1.23,1.65,1.03,309.00,187.00
7,MBL,-,209.00,210.00,208.00,210.00,210.00,0.00,0.00,208.66,12604.00,208.00,2629940.00,24,2.00,2.00,0.96,0.96,0.64,291.00,200.00
8,NABIL,-,855.00,860.00,845.00,851.00,851.00,0.00,0.00,849.93,3175.00,855.00,2698524.00,43,-4.00,15.00,-0.47,1.78,0.13,1170.00,830.00
9,NBL,-,298.00,298.00,295.00,297.00,297.00,0.00,0.00,296.09,117779.00,295.00,34873104.00,50,2.00,3.00,0.68,1.02,0.31,376.00,280.00
10,NICA,-,380.00,380.00,372.00,373.00,373.00,0.00,0.00,374.63,5460.00,375.00,2045481.00,39,-2.00,8.00,-0.53,2.15,-0.44,459.00,285.00
11,NMB,-,363.00,365.00,362.00,363.00,363.00,0.00,0.00,363.20,42441.00,363.00,15414693.00,130,0.00,3.00,0.00,0.83,-0.06,502.00,303.00
12,PCBL,-,318.00,319.00,315.00,317.00,317.00,0.00,0.00,317.79,19107.00,318.00,6072109.00,34,-1.00,4.00,-0.31,1.27,-0.25,445.00,265.00
13,PRVU,-,246.00,246.00,243.00,245.00,245.00,0.00,0.00,244.66,21195.00,247.00,5185494.00,61,-2.00,3.00,-0.81,1.23,0.14,366.00,175.00
14,SANIMA,-,303.00,303.00,299.00,300.00,300.00,0.00,0.00,299.95,2666.00,301.00,799663.00,19,-1.00,4.00,-0.33,1.34,0.02,386.00,295.00
15,SBI,-,405.00,405.00,390.00,396.00,396.00,0.00,0.00,392.65,6952.00,398.00,2729674.00,40,-2.00,15.00,-0.50,3.85,0.85,747.00,380.00
16,SBL,-,303.00,304.00,300.00,302.00,302.00,0.00,0.00,302.09,2017.00,303.00,609310.00,14,-1.00,4.00,-0.33,1.33,-0.03,391.00,276.00
17,SCB,-,610.00,613.00,603.00,612.00,612.00,0.00,0.00,608.31,8137.00,599.00,4949814.00,77,13.00,10.00,2.17,1.66,0.60,2225.00,550.00
