S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,450.00,464.00,449.00,458.00,458.00,0.00,0.00,451.64,2164.00,450.00,977352.00,13,8.00,15.00,0.00,3.34,1.39,0.00,0.00
2,CZBIL,-,438.00,447.00,440.00,446.00,446.00,0.00,0.00,442.51,4300.00,438.00,1902788.00,14,8.00,7.00,0.00,1.59,0.78,0.00,0.00
3,EBL,-,2070.00,2086.00,2060.00,2086.00,2086.00,0.00,0.00,2071.06,2916.00,2070.00,6039197.00,26,16.00,26.00,0.00,1.26,0.72,0.00,0.00
4,GBIME,-,446.00,464.00,445.00,463.00,463.00,0.00,0.00,446.65,16072.00,446.00,7178546.00,112,17.00,19.00,0.00,4.27,3.53,0.00,0.00
5,HBL,-,853.00,845.00,830.00,830.00,830.00,0.00,0.00,836.68,1672.00,853.00,1398930.00,6,-23.00,15.00,0.00,1.81,-0.80,0.00,0.00
6,KBL,-,379.00,382.00,377.00,378.00,378.00,0.00,0.00,379.99,4568.00,379.00,1735782.00,13,-1.00,5.00,0.00,1.33,-0.53,0.00,0.00
7,MBL,-,552.00,566.00,550.00,565.00,565.00,0.00,0.00,556.69,9215.00,552.00,5129885.00,20,13.00,16.00,0.00,2.91,1.47,0.00,0.00
8,NABIL,-,1870.00,1895.00,1865.00,1895.00,1895.00,0.00,0.00,1875.60,649.00,1870.00,1217264.00,9,25.00,30.00,0.00,1.61,1.02,0.00,0.00
9,NBL,-,298.00,308.00,299.00,301.00,301.00,0.00,0.00,300.39,22207.00,298.00,6670815.00,34,3.00,9.00,0.00,3.01,0.20,0.00,0.00
10,NICA,-,643.00,655.00,645.00,646.00,646.00,0.00,0.00,648.39,2645.00,643.00,1714997.00,7,3.00,10.00,0.00,1.55,-0.37,0.00,0.00
11,PCBL,-,432.00,445.00,435.00,440.00,440.00,0.00,0.00,439.43,2876.00,432.00,1263800.00,15,8.00,10.00,0.00,2.30,0.13,0.00,0.00
12,PRVU,-,336.00,343.00,332.00,342.00,342.00,0.00,0.00,337.47,22579.00,336.00,7619658.00,35,6.00,11.00,0.00,3.31,1.33,0.00,0.00
13,SANIMA,-,544.00,550.00,545.00,545.00,545.00,0.00,0.00,545.56,3661.00,544.00,1997292.00,10,1.00,5.00,0.00,0.92,-0.10,0.00,0.00
14,SBI,-,904.00,922.00,915.00,920.00,920.00,0.00,0.00,917.77,829.00,904.00,760831.00,4,16.00,7.00,0.00,0.77,0.24,0.00,0.00
15,SBL,-,653.00,675.00,651.00,671.00,671.00,0.00,0.00,662.97,1818.00,653.00,1205277.00,9,18.00,24.00,0.00,3.69,1.20,0.00,0.00
16,SCB,-,1912.00,1952.00,1923.00,1944.00,1944.00,0.00,0.00,1934.68,208.00,1912.00,402414.00,4,32.00,29.00,0.00,1.51,0.48,0.00,0.00
