S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,347.00,346.00,341.00,342.00,342.00,0.00,0.00,342.26,5012.00,347.00,1715421.00,25,-5.00,5.00,0.00,1.47,-0.08,0.00,0.00
2,CZBIL,-,273.00,275.00,268.00,270.00,270.00,0.00,0.00,270.21,14894.00,273.00,4024505.00,40,-3.00,7.00,0.00,2.61,-0.08,0.00,0.00
3,EBL,-,845.00,854.00,840.00,840.00,840.00,0.00,0.00,841.82,7983.00,845.00,6720219.00,81,-5.00,14.00,0.00,1.67,-0.22,0.00,0.00
4,GBIME,-,321.00,321.00,318.00,320.00,320.00,0.00,0.00,319.26,4999.00,321.00,1595963.00,29,-1.00,3.00,0.00,0.94,0.23,0.00,0.00
5,KBL,-,270.00,272.00,265.00,269.00,269.00,0.00,0.00,267.37,16441.00,270.00,4395753.00,60,-1.00,7.00,0.00,2.64,0.61,0.00,0.00
6,MBL,-,270.00,265.00,261.00,261.00,261.00,0.00,0.00,262.58,12237.00,270.00,3213135.00,34,-9.00,4.00,0.00,1.53,-0.60,0.00,0.00
7,NABIL,-,1072.00,1066.00,1060.00,1066.00,1066.00,0.00,0.00,1061.90,7436.00,1072.00,7896306.00,75,-6.00,6.00,0.00,0.57,0.38,0.00,0.00
8,NBL,-,360.00,365.00,344.00,346.00,346.00,0.00,0.00,349.18,148369.00,360.00,51808064.00,321,-14.00,21.00,0.00,6.10,-0.92,0.00,0.00
9,NICA,-,346.00,345.00,341.00,341.00,341.00,0.00,0.00,341.66,4071.00,346.00,1390893.00,29,-5.00,4.00,0.00,1.17,-0.19,0.00,0.00
10,NMB,-,466.00,467.00,462.00,463.00,463.00,0.00,0.00,464.44,4212.00,466.00,1956240.00,31,-3.00,5.00,0.00,1.08,-0.31,0.00,0.00
11,PCBL,-,304.00,304.00,300.00,302.00,302.00,0.00,0.00,302.52,9860.00,304.00,2982802.00,33,-2.00,4.00,0.00,1.33,-0.17,0.00,0.00
12,PRVU,-,232.00,236.00,231.00,231.00,231.00,0.00,0.00,231.56,3050.00,232.00,706250.00,16,-1.00,5.00,0.00,2.16,-0.24,0.00,0.00
13,SANIMA,-,349.00,350.00,345.00,348.00,348.00,0.00,0.00,347.86,11533.00,349.00,4011869.00,59,-1.00,5.00,0.00,1.45,0.04,0.00,0.00
14,SBI,-,591.00,597.00,586.00,589.00,589.00,0.00,0.00,590.18,4143.00,591.00,2445097.00,29,-2.00,11.00,0.00,1.88,-0.20,0.00,0.00
15,SBL,-,343.00,343.00,337.00,343.00,343.00,0.00,0.00,338.86,5382.00,343.00,1823770.00,35,0.00,6.00,0.00,1.78,1.21,0.00,0.00
16,SCB,-,996.00,996.00,987.00,988.00,988.00,0.00,0.00,990.57,3716.00,996.00,3680976.00,64,-8.00,9.00,0.00,0.91,-0.26,0.00,0.00
