S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,37.93,230.90,231.00,226.50,228.00,228.00,0.00,0.00,228.42,20562.00,228.10,4696865.70,142,-0.10,4.50,-0.04,1.99,-0.19,355.80,224.00
2,CZBIL,38.52,171.00,171.00,168.40,169.00,169.00,0.00,0.00,169.35,36548.00,169.00,6189458.50,144,0.00,2.60,0.00,1.54,-0.21,230.50,168.00
3,EBL,30.80,535.00,537.00,530.00,534.00,534.00,0.00,0.00,534.29,16480.00,533.90,8805036.80,124,0.10,7.00,0.02,1.32,-0.05,561.00,411.00
4,GBIME,34.38,183.30,183.30,180.50,182.00,182.00,0.00,0.00,181.62,56520.00,182.20,10265066.10,436,-0.20,2.80,-0.11,1.55,0.21,278.00,177.90
5,HBL,34.00,214.00,215.00,212.30,213.90,213.90,0.00,0.00,213.67,36335.00,214.10,7763647.80,190,-0.20,2.70,-0.09,1.27,0.11,505.00,210.80
6,KBL,42.38,164.50,164.50,161.00,162.10,162.10,0.00,0.00,161.68,115970.00,161.80,18750414.20,348,0.30,3.50,0.19,2.17,0.26,219.80,159.20
7,MBL,33.11,226.30,229.00,226.30,228.00,228.00,0.00,0.00,227.88,15148.00,229.00,3451882.80,71,-1.00,2.70,-0.44,1.19,0.05,268.00,199.00
8,NABIL,34.04,590.00,595.00,587.00,590.90,590.90,0.00,0.00,590.20,36616.00,591.30,21610888.10,414,-0.40,8.00,-0.07,1.36,0.12,930.00,575.60
9,NBL,34.83,255.50,255.50,251.00,253.00,253.00,0.00,0.00,252.43,35011.00,253.90,8837840.10,245,-0.90,4.50,-0.35,1.79,0.23,317.50,245.00
10,NICA,48.18,715.00,721.90,714.50,719.00,719.00,0.00,0.00,718.01,28350.00,716.50,20355617.20,178,2.50,7.40,0.35,1.04,0.14,861.90,600.30
11,NIMB,37.14,179.30,179.30,176.00,176.10,176.10,0.00,0.00,176.15,77732.00,176.10,13692570.40,344,0.00,3.30,0.00,1.88,-0.03,232.20,175.50
12,NMB,40.01,225.00,228.00,223.00,228.00,228.00,0.00,0.00,225.55,32988.00,229.40,7440434.60,152,-1.40,5.00,-0.61,2.24,1.07,277.00,215.00
13,PCBL,35.53,190.60,192.00,190.00,190.80,190.80,0.00,0.00,190.90,29142.00,191.90,5563235.10,193,-1.10,2.00,-0.57,1.05,-0.05,276.00,189.00
14,PRVU,40.04,165.00,165.00,159.80,160.10,160.10,0.00,0.00,161.43,119485.00,162.00,19288796.80,364,-1.90,5.20,-1.17,3.25,-0.83,275.00,158.70
15,SANIMA,34.58,243.00,243.00,239.00,239.00,239.00,0.00,0.00,240.35,35178.00,239.50,8454959.00,148,-0.50,4.00,-0.21,1.67,-0.56,292.00,222.00
16,SBI,31.36,325.00,328.00,322.80,324.80,324.80,0.00,0.00,324.59,14996.00,328.00,4867590.70,59,-3.20,5.20,-0.98,1.61,0.06,360.00,251.00
17,SBL,37.81,248.00,248.00,240.20,243.80,243.80,0.00,0.00,242.67,48081.00,247.00,11667703.20,216,-3.20,7.80,-1.30,3.25,0.46,348.00,238.30
18,SCB,40.04,521.00,521.00,513.00,515.00,515.00,0.00,0.00,516.40,25486.00,512.80,13160930.70,126,2.20,8.00,0.43,1.56,-0.27,555.00,375.00
