S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,57.81,440.00,440.00,431.00,434.00,434.00,0.00,0.00,435.04,93124.00,436.00,40512495.00,309,-2.00,9.00,-0.46,2.09,-0.24,475.00,313.00
2,CZBIL,63.70,207.00,209.00,201.00,204.00,204.00,0.00,0.00,204.16,90800.00,209.00,18537606.00,338,-5.00,8.00,-2.39,3.98,-0.08,240.00,164.00
3,EBL,48.99,745.00,745.00,731.00,733.00,733.00,0.00,0.00,734.21,22895.00,741.00,16809651.00,197,-8.00,14.00,-1.08,1.92,-0.16,932.00,517.00
4,GBIME,53.45,274.00,275.00,268.00,269.00,269.00,0.00,0.00,270.73,116532.00,274.00,31548906.00,559,-5.00,7.00,-1.82,2.61,-0.64,331.00,144.48
5,HBL,50.72,601.00,601.00,565.00,568.00,568.00,0.00,0.00,567.75,7034.00,573.00,3993576.00,72,-5.00,36.00,-0.87,6.37,0.04,735.00,452.00
6,KBL,61.75,200.00,208.00,200.00,203.00,203.00,0.00,0.00,204.30,220763.00,208.00,45102208.00,523,-5.00,8.00,-2.40,4.00,-0.64,240.00,153.00
7,MBL,63.03,238.00,239.00,232.00,234.00,234.00,0.00,0.00,235.50,80788.00,238.00,19025200.00,282,-4.00,7.00,-1.68,3.02,-0.64,295.00,199.00
8,NABIL,57.82,888.00,890.00,870.00,871.00,871.00,0.00,0.00,878.90,51572.00,883.00,45326423.00,384,-12.00,20.00,-1.36,2.30,-0.91,1000.00,594.00
9,NBL,61.31,338.00,338.00,322.00,326.00,326.00,0.00,0.00,327.80,583004.00,333.00,191111186.00,1462,-7.00,16.00,-2.10,4.97,-0.55,339.00,214.00
10,NICA,43.45,590.00,590.00,576.00,577.00,577.00,0.00,0.00,580.00,72466.00,589.00,42030248.00,374,-12.00,14.00,-2.04,2.43,-0.52,680.00,372.00
11,NMB,49.44,420.00,422.00,412.00,416.00,416.00,0.00,0.00,416.17,178294.00,422.00,74200249.00,786,-6.00,10.00,-1.42,2.43,-0.04,517.00,321.00
12,PCBL,61.86,295.00,296.00,285.00,288.00,288.00,0.00,0.00,292.09,92364.00,295.00,26978314.00,381,-7.00,11.00,-2.37,3.86,-1.42,352.00,219.19
13,PRVU,62.32,248.00,248.00,232.00,233.00,233.00,0.00,0.00,233.40,85937.00,237.00,20057922.00,286,-4.00,16.00,-1.69,6.90,-0.17,292.00,195.00
14,SANIMA,44.67,350.00,350.00,340.00,340.00,340.00,0.00,0.00,343.48,39719.00,348.00,13642638.00,195,-8.00,10.00,-2.30,2.94,-1.02,437.00,287.00
15,SBI,60.04,438.00,438.00,429.00,430.00,430.00,0.00,0.00,431.75,13602.00,438.00,5872714.00,77,-8.00,9.00,-1.83,2.10,-0.41,583.00,344.00
16,SBL,64.33,315.00,318.00,312.00,312.00,312.00,0.00,0.00,315.38,83623.00,319.00,26373045.00,359,-7.00,6.00,-2.19,1.92,-1.08,393.00,252.00
17,SCB,53.89,665.00,672.00,663.00,665.00,665.00,0.00,0.00,666.11,17985.00,671.00,11979928.00,218,-6.00,9.00,-0.89,1.36,-0.17,850.00,505.00
