S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,455.00,461.00,448.00,450.00,450.00,0.00,0.00,450.49,6331.00,455.00,2852031.00,28,-5.00,13.00,0.00,2.90,-0.11,0.00,0.00
2,CZBIL,-,540.00,540.00,521.00,535.00,535.00,0.00,0.00,532.95,9282.00,540.00,4946874.00,39,-5.00,19.00,0.00,3.65,0.38,0.00,0.00
3,EBL,-,2572.00,2599.00,2536.00,2536.00,2536.00,0.00,0.00,2558.36,5438.00,2572.00,13912337.00,60,-36.00,63.00,0.00,2.48,-0.88,0.00,0.00
4,GBIME,-,383.00,381.00,376.00,376.00,376.00,0.00,0.00,378.34,12191.00,383.00,4612321.00,47,-7.00,5.00,0.00,1.33,-0.62,0.00,0.00
5,HBL,-,1260.00,1270.00,1250.00,1260.00,1260.00,0.00,0.00,1257.51,4518.00,1260.00,5681421.00,29,0.00,20.00,0.00,1.60,0.20,0.00,0.00
6,KBL,-,390.00,390.00,380.00,380.00,380.00,0.00,0.00,382.86,13232.00,390.00,5065944.00,40,-10.00,10.00,0.00,2.63,-0.75,0.00,0.00
7,NABIL,-,2180.00,2160.00,2125.00,2130.00,2130.00,0.00,0.00,2142.98,1678.00,2180.00,3595925.00,17,-50.00,35.00,0.00,1.65,-0.61,0.00,0.00
8,NBL,-,269.00,264.00,263.00,264.00,264.00,0.00,0.00,263.91,9332.00,269.00,2462798.00,15,-5.00,1.00,0.00,0.38,0.03,0.00,0.00
9,NICA,-,835.00,835.00,822.00,835.00,835.00,0.00,0.00,830.16,6702.00,835.00,5563750.00,23,0.00,13.00,0.00,1.58,0.58,0.00,0.00
10,NMB,-,444.00,440.00,437.00,437.00,437.00,0.00,0.00,437.90,2902.00,444.00,1270781.00,20,-7.00,3.00,0.00,0.69,-0.21,0.00,0.00
11,PCBL,-,562.00,560.00,545.00,547.00,547.00,0.00,0.00,549.57,4888.00,562.00,2686292.00,27,-15.00,15.00,0.00,2.75,-0.47,0.00,0.00
12,SANIMA,-,635.00,640.00,625.00,625.00,625.00,0.00,0.00,628.30,4202.00,635.00,2640108.00,15,-10.00,15.00,0.00,2.40,-0.53,0.00,0.00
13,SBI,-,1300.00,1303.00,1280.00,1282.00,1282.00,0.00,0.00,1298.54,9201.00,1300.00,11947912.00,28,-18.00,23.00,0.00,1.80,-1.29,0.00,0.00
14,SBL,-,662.00,660.00,653.00,653.00,653.00,0.00,0.00,657.31,2467.00,662.00,1621583.00,14,-9.00,7.00,0.00,1.07,-0.66,0.00,0.00
15,SCB,-,2500.00,2490.00,2431.00,2431.00,2431.00,0.00,0.00,2439.12,2121.00,2500.00,5173364.00,17,-69.00,59.00,0.00,2.43,-0.33,0.00,0.00
