S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,52.39,259.00,264.00,255.00,263.90,263.90,0.00,0.00,261.28,21840.00,254.90,5706368.00,185,9.00,9.00,3.53,3.53,0.99,355.80,224.00
2,CZBIL,52.70,182.00,190.30,172.00,188.00,188.00,0.00,0.00,186.55,29359.00,184.00,5476978.00,161,4.00,18.30,2.17,10.64,0.77,224.00,165.00
3,EBL,55.64,610.00,626.00,605.00,620.30,620.30,0.00,0.00,620.25,92085.00,603.00,57115314.90,632,17.30,21.00,2.87,3.47,0.01,633.00,421.50
4,GBIME,53.55,200.10,205.00,187.00,205.00,205.00,0.00,0.00,201.82,91554.00,199.50,18477387.20,510,5.50,18.00,2.76,9.63,1.55,241.90,176.00
5,HBL,50.12,203.00,206.90,203.00,206.50,206.50,0.00,0.00,205.45,21205.00,203.00,4356658.20,113,3.50,3.90,1.72,1.92,0.51,369.30,200.00
6,KBL,49.99,157.00,162.00,156.00,159.00,159.00,0.00,0.00,158.38,52374.00,156.50,8295193.50,254,2.50,6.00,1.60,3.85,0.39,211.60,154.00
7,LSL,48.88,186.50,190.00,173.00,188.30,188.30,0.00,0.00,187.68,120957.00,185.60,22701547.90,272,2.70,17.00,1.45,9.83,0.33,190.00,173.00
8,MBL,38.99,262.00,265.00,259.00,264.00,264.00,0.00,0.00,262.01,127028.00,259.20,33283003.10,272,4.80,6.00,1.85,2.32,0.75,283.00,199.00
9,NABIL,54.76,587.00,592.00,578.30,588.70,588.70,0.00,0.00,585.71,70550.00,580.00,41321868.50,537,8.70,13.70,1.50,2.37,0.51,930.00,574.30
10,NBL,52.92,249.10,252.50,248.10,252.40,252.40,0.00,0.00,250.45,46416.00,249.00,11625020.40,259,3.40,4.40,1.37,1.77,0.77,307.00,240.00
11,NICA,54.35,780.00,805.00,778.00,798.10,798.10,0.00,0.00,797.07,49803.00,780.00,39696687.30,447,18.10,27.00,2.32,3.47,0.13,861.90,600.30
12,NIMB,51.09,175.00,183.00,174.00,177.50,177.50,0.00,0.00,176.74,50314.00,175.20,8892463.40,258,2.30,9.00,1.31,5.17,0.43,232.20,170.10
13,NMB,48.36,219.00,223.00,217.00,220.00,220.00,0.00,0.00,219.51,29684.00,216.00,6515949.70,120,4.00,6.00,1.85,2.76,0.22,268.20,215.00
14,PCBL,49.62,182.00,182.00,177.40,181.50,181.50,0.00,0.00,179.70,56971.00,180.00,10237764.90,255,1.50,4.60,0.83,2.59,0.99,247.00,176.40
15,PRVU,49.18,161.00,161.90,157.10,161.00,161.00,0.00,0.00,160.78,89956.00,159.00,14463457.80,333,2.00,4.80,1.26,3.06,0.13,228.00,155.00
16,SANIMA,53.07,298.00,300.00,294.00,299.00,299.00,0.00,0.00,298.81,69267.00,293.00,20697476.50,278,6.00,6.00,2.05,2.04,0.06,310.00,222.00
17,SBI,54.48,332.00,340.00,328.00,340.00,340.00,0.00,0.00,336.32,104938.00,330.00,35292386.00,106,10.00,12.00,3.03,3.66,1.08,378.40,251.00
18,SBL,37.13,255.00,261.00,253.10,261.00,261.00,0.00,0.00,258.75,24393.00,254.90,6311711.30,94,6.10,7.90,2.39,3.12,0.86,341.50,238.00
19,SCB,51.00,553.00,564.00,552.00,563.00,563.00,0.00,0.00,560.79,16293.00,553.00,9136875.70,171,10.00,12.00,1.81,2.17,0.39,582.00,387.00
