S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,43.20,503.10,511.00,503.10,508.20,508.20,0.00,0.00,507.70,19692.00,512.90,9997711.70,197,-4.70,7.90,-0.92,1.57,0.10,620.00,398.00
2,CZBIL,60.81,298.00,299.00,294.50,295.00,295.00,0.00,0.00,294.87,66139.00,298.00,19502219.00,306,-3.00,4.50,-1.01,1.53,0.05,444.00,222.00
3,EBL,53.06,637.00,637.50,618.30,620.00,620.00,0.00,0.00,621.52,33125.00,625.00,20588008.10,263,-5.00,19.20,-0.80,3.11,-0.25,864.00,618.00
4,GBIME,57.16,370.00,377.00,370.00,371.00,371.00,0.00,0.00,371.08,45387.00,375.50,16842182.20,435,-4.50,7.00,-1.20,1.89,-0.02,522.00,297.00
5,KBL,57.69,267.00,267.00,260.00,261.00,261.00,0.00,0.00,262.16,54164.00,266.00,14199538.00,359,-5.00,7.00,-1.88,2.69,-0.44,413.00,219.00
6,MBL,56.58,320.20,339.00,320.00,322.00,322.00,0.00,0.00,323.57,57831.00,326.00,18712159.10,217,-4.00,19.00,-1.23,5.94,-0.49,455.00,228.00
7,NABIL,45.89,1587.10,1587.10,1546.00,1547.00,1547.00,0.00,0.00,1549.56,89460.00,1556.00,138623591.70,1234,-9.00,41.10,-0.58,2.66,-0.17,1740.00,888.00
8,NBL,55.28,462.00,462.00,449.00,450.00,450.00,0.00,0.00,451.98,107262.00,461.50,48480746.00,649,-11.50,13.00,-2.49,2.90,-0.44,575.00,326.00
9,NICA,59.93,874.00,874.00,845.90,854.00,854.00,0.00,0.00,855.74,86241.00,875.00,73799771.50,443,-21.00,28.10,-2.40,3.32,-0.20,1085.00,605.00
10,NMB,54.23,399.00,400.00,393.80,394.00,394.00,0.00,0.00,396.29,49610.00,398.50,19659771.10,377,-4.50,6.20,-1.13,1.57,-0.58,517.00,379.00
11,PCBL,41.87,477.90,477.90,466.00,466.50,466.50,0.00,0.00,467.57,51189.00,470.00,23934559.30,348,-3.50,11.90,-0.74,2.55,-0.23,540.00,347.00
12,PRVU,61.46,370.10,374.00,368.00,370.00,370.00,0.00,0.00,370.28,70774.00,375.00,26206076.20,317,-5.00,6.00,-1.33,1.63,-0.08,525.00,285.00
13,SANIMA,54.55,398.00,400.00,386.00,389.00,389.00,0.00,0.00,391.25,46042.00,396.00,18013910.30,308,-7.00,14.00,-1.77,3.63,-0.58,564.90,300.00
14,SBI,52.45,356.00,357.00,350.00,353.70,353.70,0.00,0.00,352.15,8715.00,356.00,3068972.30,58,-2.30,7.00,-0.65,2.00,0.44,491.00,331.30
15,SBL,45.29,506.00,506.00,492.00,497.00,497.00,0.00,0.00,495.48,52517.00,506.00,26021300.20,258,-9.00,14.00,-1.78,2.85,0.31,605.00,328.00
16,SCB,59.54,530.00,535.00,517.00,520.00,520.00,0.00,0.00,522.04,9848.00,525.00,5141033.10,141,-5.00,18.00,-0.95,3.48,-0.39,730.00,507.80
