S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,562.00,606.00,573.00,595.00,595.00,0.00,0.00,590.88,63335.00,562.00,37423648.00,275,33.00,33.00,0.00,5.76,0.69,0.00,0.00
2,CZBIL,-,420.00,444.00,420.00,431.00,431.00,0.00,0.00,431.14,23529.00,420.00,10144388.00,117,11.00,24.00,0.00,5.71,-0.03,0.00,0.00
3,EBL,-,1876.00,1989.00,1900.00,1989.00,1989.00,0.00,0.00,1930.51,9601.00,1876.00,18534856.00,80,113.00,89.00,0.00,4.68,2.94,0.00,0.00
4,GBIME,-,395.00,410.00,390.00,407.00,407.00,0.00,0.00,396.42,78272.00,395.00,31028900.00,94,12.00,20.00,0.00,5.13,2.60,0.00,0.00
5,HBL,-,970.00,1020.00,978.00,1020.00,1020.00,0.00,0.00,997.09,3407.00,970.00,3397072.00,21,50.00,42.00,0.00,4.29,2.25,0.00,0.00
6,KBL,-,355.00,390.00,362.00,379.00,379.00,0.00,0.00,371.77,23609.00,355.00,8777108.00,88,24.00,28.00,0.00,7.73,1.91,0.00,0.00
7,MBL,-,412.00,433.00,410.00,433.00,433.00,0.00,0.00,421.30,29259.00,412.00,12326682.00,78,21.00,23.00,0.00,5.61,2.70,0.00,0.00
8,NABIL,-,1500.00,1581.00,1529.00,1575.00,1575.00,0.00,0.00,1560.94,9939.00,1500.00,15514194.00,75,75.00,52.00,0.00,3.40,0.89,0.00,0.00
9,NBL,-,425.00,467.00,433.00,460.00,460.00,0.00,0.00,446.64,91860.00,425.00,41028780.00,216,35.00,34.00,0.00,7.85,2.90,0.00,0.00
10,NICA,-,450.00,477.00,450.00,477.00,477.00,0.00,0.00,462.07,11946.00,450.00,5519843.00,70,27.00,27.00,0.00,6.00,3.13,0.00,0.00
11,NMB,-,539.00,582.00,547.00,576.00,576.00,0.00,0.00,561.66,23850.00,539.00,13395531.00,79,37.00,35.00,0.00,6.40,2.49,0.00,0.00
12,PCBL,-,418.00,452.00,425.00,442.00,442.00,0.00,0.00,435.68,51050.00,418.00,22241214.00,159,24.00,27.00,0.00,6.35,1.43,0.00,0.00
13,PRVU,-,370.00,400.00,372.00,398.00,398.00,0.00,0.00,393.35,128326.00,370.00,50477624.00,347,28.00,28.00,0.00,7.53,1.17,0.00,0.00
14,SANIMA,-,555.00,577.00,555.00,565.00,565.00,0.00,0.00,564.33,134446.00,555.00,75872256.00,446,10.00,22.00,0.00,3.96,0.12,0.00,0.00
15,SBI,-,1365.00,1475.00,1392.00,1435.00,1435.00,0.00,0.00,1440.74,5631.00,1365.00,8112795.00,43,70.00,83.00,0.00,5.96,-0.40,0.00,0.00
16,SBL,-,644.00,700.00,656.00,700.00,700.00,0.00,0.00,683.90,30392.00,644.00,20785000.00,137,56.00,44.00,0.00,6.71,2.30,0.00,0.00
17,SCB,-,2138.00,2259.00,2151.00,2248.00,2248.00,0.00,0.00,2198.74,8812.00,2138.00,19375324.00,68,110.00,108.00,0.00,5.02,2.19,0.00,0.00
