S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,298.00,298.00,292.00,294.00,294.00,0.00,0.00,294.49,9227.00,294.00,2717238.00,63,0.00,6.00,0.00,2.05,-0.17,382.00,290.00
2,CZBIL,-,206.00,209.00,206.00,209.00,209.00,0.00,0.00,207.63,12193.00,208.00,2531573.00,66,1.00,3.00,0.48,1.46,0.66,300.00,199.00
3,EBL,-,563.00,563.00,555.00,558.00,558.00,0.00,0.00,556.35,9837.00,556.00,5472855.00,69,2.00,8.00,0.36,1.44,0.29,900.00,501.00
4,GBIME,-,259.00,262.00,259.00,261.00,261.00,0.00,0.00,260.37,22818.00,262.00,5941079.00,82,-1.00,3.00,-0.38,1.16,0.24,344.00,255.00
5,HBL,-,453.00,465.00,453.00,460.00,460.00,0.00,0.00,460.29,1683.00,455.00,774665.00,11,5.00,12.00,1.10,2.65,-0.06,682.00,418.00
6,KBL,-,233.00,238.00,233.00,238.00,238.00,0.00,0.00,235.83,5043.00,236.00,1189307.00,26,2.00,5.00,0.85,2.15,0.91,287.00,187.00
7,MBL,-,222.00,223.00,220.00,221.00,221.00,0.00,0.00,221.46,6069.00,223.00,1344066.00,40,-2.00,3.00,-0.90,1.36,-0.21,271.00,200.00
8,NABIL,-,708.00,719.00,708.00,714.00,714.00,0.00,0.00,711.47,5004.00,709.00,3560176.00,44,5.00,11.00,0.71,1.55,0.35,1081.00,678.00
9,NBL,-,289.00,290.00,288.00,289.00,289.00,0.00,0.00,288.67,17534.00,289.00,5061511.00,57,0.00,2.00,0.00,0.69,0.11,375.00,280.00
10,NICA,-,403.00,403.00,396.00,398.00,398.00,0.00,0.00,397.94,15408.00,398.00,6131473.00,93,0.00,7.00,0.00,1.77,0.01,459.00,300.00
11,NMB,-,324.00,327.00,324.00,327.00,327.00,0.00,0.00,325.29,26581.00,325.00,8646525.00,138,2.00,3.00,0.62,0.93,0.52,502.00,300.00
12,PCBL,-,320.00,320.00,316.00,318.00,318.00,0.00,0.00,317.10,9512.00,320.00,3016288.00,44,-2.00,4.00,-0.63,1.27,0.28,352.00,273.00
13,PRVU,-,233.00,238.00,233.00,236.00,236.00,0.00,0.00,235.10,52417.00,234.00,12323351.00,117,2.00,5.00,0.85,2.15,0.38,261.00,175.00
14,SANIMA,-,301.00,303.00,299.00,300.00,300.00,0.00,0.00,300.36,9134.00,302.00,2743461.00,43,-2.00,4.00,-0.66,1.34,-0.12,386.00,286.00
15,SBI,-,389.00,391.00,388.00,391.00,391.00,0.00,0.00,389.51,3379.00,390.00,1316163.00,18,1.00,3.00,0.26,0.77,0.38,634.00,366.00
16,SBL,-,287.00,289.00,286.00,286.00,286.00,0.00,0.00,287.92,8515.00,287.00,2451672.00,24,-1.00,3.00,-0.35,1.05,-0.67,372.00,272.00
17,SCB,-,563.00,574.00,563.00,568.00,568.00,0.00,0.00,569.08,4230.00,570.00,2407228.00,50,-2.00,11.00,-0.35,1.95,-0.19,910.00,520.00
