S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,35.26,234.60,234.60,229.10,230.00,230.00,0.00,0.00,230.41,20809.00,230.00,4794585.30,164,0.00,5.50,0.00,2.40,-0.18,355.80,224.00
2,CZBIL,44.30,168.00,170.00,167.10,167.10,167.10,0.00,0.00,168.47,32842.00,168.00,5533011.30,146,-0.90,2.90,-0.54,1.74,-0.82,224.00,165.00
3,EBL,42.90,564.00,569.00,555.00,559.00,559.00,0.00,0.00,560.01,24259.00,560.00,13585393.10,213,-1.00,14.00,-0.18,2.52,-0.18,596.70,411.00
4,GBIME,38.98,182.00,184.00,176.00,178.00,178.00,0.00,0.00,178.77,159686.00,178.90,28546395.80,819,-0.90,8.00,-0.50,4.55,-0.43,240.00,176.00
5,HBL,45.54,208.10,212.00,208.10,209.00,209.00,0.00,0.00,210.34,30893.00,208.10,6498122.90,156,0.90,3.90,0.43,1.87,-0.64,505.00,206.50
6,KBL,50.94,158.00,160.00,157.00,158.80,158.80,0.00,0.00,158.19,125621.00,157.80,19871683.90,370,1.00,3.00,0.63,1.91,0.39,219.80,155.00
7,MBL,34.71,228.00,230.00,227.10,228.90,228.90,0.00,0.00,228.54,23357.00,229.90,5338002.20,119,-1.00,2.90,-0.43,1.28,0.16,268.00,199.00
8,NABIL,45.90,593.00,593.00,581.00,583.00,583.00,0.00,0.00,583.57,88478.00,583.00,51633437.30,853,0.00,12.00,0.00,2.07,-0.10,930.00,574.30
9,NBL,39.71,245.00,253.00,242.20,243.00,243.00,0.00,0.00,244.00,80974.00,244.00,19757263.30,415,-1.00,10.80,-0.41,4.46,-0.41,317.50,242.20
10,NICA,47.02,794.00,797.00,785.00,788.90,788.90,0.00,0.00,790.30,61999.00,789.00,48997684.00,399,-0.10,12.00,-0.01,1.53,-0.18,861.90,600.30
11,NIMB,37.10,175.00,176.30,171.00,171.80,171.80,0.00,0.00,173.32,129842.00,173.90,22503647.00,691,-2.10,5.30,-1.21,3.10,-0.88,232.20,170.10
12,NMB,45.83,226.00,229.00,222.00,224.50,224.50,0.00,0.00,223.86,339164.00,226.00,75924205.90,233,-1.50,7.00,-0.66,3.15,0.29,277.00,215.00
13,PCBL,52.93,191.00,192.00,188.00,190.90,190.90,0.00,0.00,189.90,50155.00,190.00,9524392.80,312,0.90,4.00,0.47,2.13,0.52,271.90,186.00
14,PRVU,45.87,160.00,160.00,157.00,158.00,158.00,0.00,0.00,158.03,110468.00,158.70,17457236.40,566,-0.70,3.00,-0.44,1.91,-0.02,275.00,155.00
15,SANIMA,39.92,256.00,260.00,253.00,255.00,255.00,0.00,0.00,254.81,94410.00,255.00,24056709.00,327,0.00,7.00,0.00,2.77,0.07,283.00,222.00
16,SBI,33.88,340.00,346.80,334.00,338.00,338.00,0.00,0.00,337.50,20069.00,335.00,6773239.20,99,3.00,12.80,0.90,3.83,0.15,378.40,251.00
17,SBL,44.27,241.00,243.00,238.60,240.00,240.00,0.00,0.00,240.30,37348.00,239.10,8974549.30,185,0.90,4.40,0.38,1.84,-0.12,348.00,238.00
18,SCB,40.13,526.00,531.90,519.00,523.00,523.00,0.00,0.00,523.40,39991.00,516.50,20931327.50,199,6.50,12.90,1.26,2.49,-0.08,572.00,375.00
