S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,47.28,241.10,247.00,240.10,244.00,244.00,0.00,0.00,243.50,24472.00,245.00,5958962.50,187,-1.00,6.90,-0.41,2.87,0.20,275.00,223.00
2,CZBIL,54.09,165.00,165.00,160.60,161.90,161.90,0.00,0.00,162.40,13653.00,162.00,2217257.30,87,-0.10,4.40,-0.06,2.74,-0.31,207.80,152.50
3,EBL,55.42,521.00,521.00,507.00,510.00,510.00,0.00,0.00,510.95,17063.00,511.00,8718329.00,137,-1.00,14.00,-0.20,2.76,-0.19,633.00,448.00
4,GBIME,53.82,178.00,180.00,178.00,178.00,178.00,0.00,0.00,178.80,54933.00,177.00,9822282.00,331,1.00,2.00,0.56,1.12,-0.45,241.90,170.00
5,HBL,53.86,180.00,185.60,178.00,178.00,178.00,0.00,0.00,180.26,15048.00,180.00,2712518.00,117,-2.00,7.60,-1.11,4.27,-1.27,243.10,167.10
6,KBL,57.18,142.00,142.00,137.20,139.00,139.00,0.00,0.00,139.21,142190.00,140.00,19793585.30,371,-1.00,4.80,-0.71,3.50,-0.15,195.80,129.60
7,LSL,54.32,157.90,157.90,152.20,154.00,154.00,0.00,0.00,154.57,63913.00,156.90,9878805.90,172,-2.90,5.70,-1.85,3.75,-0.37,208.00,143.60
8,MBL,54.14,170.80,173.20,166.00,167.90,167.90,0.00,0.00,170.32,27434.00,170.80,4672473.40,131,-2.90,7.20,-1.70,4.34,-1.44,283.00,157.80
9,NABIL,55.09,440.00,441.00,434.00,434.00,434.00,0.00,0.00,436.67,36943.00,433.50,16131722.10,418,0.50,7.00,0.12,1.61,-0.61,653.00,419.00
10,NBL,38.75,202.00,207.90,202.00,203.50,203.50,0.00,0.00,205.29,29497.00,204.00,6055393.80,176,-0.50,5.90,-0.25,2.92,-0.88,280.00,195.10
11,NICA,56.30,359.00,370.00,357.80,358.00,358.00,0.00,0.00,361.82,64416.00,365.50,23307126.80,369,-7.50,12.20,-2.05,3.41,-1.07,852.00,341.60
12,NIMB,45.23,160.00,160.00,155.00,156.00,156.00,0.00,0.00,156.53,44091.00,157.90,6901434.50,240,-1.90,5.00,-1.20,3.23,-0.34,217.00,147.40
13,NMB,56.09,182.90,182.90,178.00,178.10,178.10,0.00,0.00,179.77,34026.00,179.90,6116892.60,138,-1.80,4.90,-1.00,2.75,-0.94,252.00,162.00
14,PCBL,54.67,194.00,200.00,194.00,195.90,195.90,0.00,0.00,197.81,38428.00,197.90,7601271.60,203,-2.00,6.00,-1.01,3.09,-0.97,224.80,176.00
15,PRVU,55.62,143.40,143.50,139.00,140.00,140.00,0.00,0.00,141.44,73883.00,141.50,10450117.30,298,-1.50,4.50,-1.06,3.24,-1.03,206.00,132.00
16,SANIMA,58.24,244.80,259.00,240.00,241.00,241.00,0.00,0.00,243.06,57410.00,240.00,13954012.50,267,1.00,19.00,0.42,7.92,-0.85,310.00,225.50
17,SBI,54.34,285.00,288.60,279.10,279.10,279.10,0.00,0.00,281.98,11764.00,281.60,3317236.80,78,-2.50,9.50,-0.89,3.40,-1.03,378.40,268.60
18,SBL,56.34,233.00,233.00,224.70,228.80,228.80,0.00,0.00,227.45,44941.00,229.20,10221702.60,168,-0.40,8.30,-0.17,3.69,0.59,291.70,212.20
19,SCB,56.20,553.00,587.00,542.00,545.00,545.00,0.00,0.00,546.34,19151.00,544.00,10463048.00,197,1.00,45.00,0.18,8.30,-0.25,587.00,497.40
