S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,328.00,330.00,325.00,328.00,328.00,0.00,0.00,326.55,16726.00,334.00,5461805.00,61,-6.00,5.00,-1.80,1.54,0.44,615.00,332.00
2,CZBIL,-,267.00,267.00,256.00,264.00,264.00,0.00,0.00,262.29,10325.00,270.00,2708111.00,54,-6.00,11.00,-2.22,4.30,0.65,469.00,263.00
3,EBL,-,789.00,790.00,760.00,770.00,770.00,0.00,0.00,773.95,21092.00,803.00,16324113.00,190,-33.00,30.00,-4.11,3.95,-0.51,2142.00,788.00
4,GBIME,-,313.00,318.00,306.00,311.00,311.00,0.00,0.00,311.66,42240.00,319.00,13164460.00,174,-8.00,12.00,-2.51,3.92,-0.21,461.00,306.00
5,HBL,-,625.00,625.00,605.00,610.00,610.00,0.00,0.00,615.50,3676.00,637.00,2262566.00,33,-27.00,20.00,-4.24,3.31,-0.90,1144.00,590.00
6,KBL,-,263.00,265.00,256.00,260.00,260.00,0.00,0.00,259.23,53580.00,268.00,13889698.00,116,-8.00,9.00,-2.99,3.52,0.30,434.00,263.00
7,MBL,-,242.00,242.00,230.00,236.00,236.00,0.00,0.00,233.38,10281.00,246.00,2399416.00,48,-10.00,12.00,-4.07,5.22,1.11,495.00,244.00
8,NABIL,-,1045.00,1045.00,1022.00,1034.00,1034.00,0.00,0.00,1033.65,13490.00,1060.00,13943999.00,137,-26.00,23.00,-2.45,2.25,0.03,1810.00,1005.00
9,NBL,-,336.00,340.00,329.00,336.00,336.00,0.00,0.00,332.22,82056.00,342.00,27260704.00,165,-6.00,11.00,-1.75,3.34,1.12,540.00,326.00
10,NICA,-,336.00,340.00,331.00,334.00,334.00,0.00,0.00,334.15,18341.00,342.00,6128731.00,82,-8.00,9.00,-2.34,2.72,-0.05,540.00,327.00
11,NMB,-,450.00,450.00,424.00,440.00,440.00,0.00,0.00,438.28,10971.00,455.00,4808324.00,88,-15.00,26.00,-3.30,6.13,0.39,678.00,433.00
12,PCBL,-,296.00,300.00,291.00,295.00,295.00,0.00,0.00,295.14,13268.00,302.00,3915919.00,68,-7.00,9.00,-2.32,3.09,-0.05,504.00,294.00
13,PRVU,-,224.00,224.00,214.00,217.00,217.00,0.00,0.00,217.82,42295.00,227.00,9212896.00,147,-10.00,10.00,-4.41,4.67,-0.38,460.00,223.00
14,SANIMA,-,357.00,357.00,344.00,350.00,350.00,0.00,0.00,348.37,51360.00,360.00,17892496.00,177,-10.00,13.00,-2.78,3.78,0.46,579.00,299.20
15,SBI,-,560.00,555.00,535.00,548.00,548.00,0.00,0.00,542.41,5199.00,563.00,2819964.00,52,-15.00,20.00,-2.66,3.74,1.02,1510.00,563.00
16,SBL,-,312.00,306.00,298.00,300.00,300.00,0.00,0.00,300.69,16221.00,312.00,4877486.00,78,-12.00,8.00,-3.85,2.68,-0.23,804.00,337.00
17,SCB,-,935.00,935.00,890.00,900.00,900.00,0.00,0.00,908.36,10099.00,940.00,9173521.00,165,-40.00,45.00,-4.26,5.06,-0.93,2507.00,898.00
