S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,450.00,450.00,441.00,448.00,448.00,0.00,0.00,447.04,3174.00,450.00,1418900.00,32,-2.00,9.00,0.00,2.04,0.21,0.00,0.00
2,CZBIL,-,397.00,404.00,385.00,390.00,390.00,0.00,0.00,393.98,13622.00,397.00,5366859.00,58,-7.00,19.00,0.00,4.94,-1.02,0.00,0.00
3,EBL,-,1715.00,1700.00,1666.00,1677.00,1677.00,0.00,0.00,1677.68,7425.00,1715.00,12456773.00,76,-38.00,34.00,0.00,2.04,-0.04,0.00,0.00
4,GBIME,-,400.00,404.00,390.00,400.00,400.00,0.00,0.00,395.87,14066.00,400.00,5568265.00,59,0.00,14.00,0.00,3.59,1.03,0.00,0.00
5,HBL,-,960.00,955.00,940.00,940.00,940.00,0.00,0.00,946.69,1939.00,960.00,1835640.00,16,-20.00,15.00,0.00,1.60,-0.71,0.00,0.00
6,KBL,-,332.00,332.00,326.00,330.00,330.00,0.00,0.00,326.80,10834.00,332.00,3540593.00,30,-2.00,6.00,0.00,1.84,0.97,0.00,0.00
7,MBL,-,408.00,413.00,405.00,410.00,410.00,0.00,0.00,409.27,12532.00,408.00,5128980.00,73,2.00,8.00,0.00,1.98,0.18,0.00,0.00
8,NABIL,-,1550.00,1559.00,1535.00,1535.00,1535.00,0.00,0.00,1541.53,1271.00,1550.00,1959285.00,22,-15.00,24.00,0.00,1.56,-0.43,0.00,0.00
9,NBL,-,376.00,381.00,368.00,375.00,375.00,0.00,0.00,368.77,219331.00,376.00,80883496.00,61,-1.00,13.00,0.00,3.53,1.66,0.00,0.00
10,NICA,-,460.00,456.00,450.00,453.00,453.00,0.00,0.00,452.00,9814.00,460.00,4435972.00,44,-7.00,6.00,0.00,1.33,0.22,0.00,0.00
11,NMB,-,576.00,590.00,570.00,590.00,590.00,0.00,0.00,577.26,7271.00,576.00,4197230.00,45,14.00,20.00,0.00,3.51,2.16,0.00,0.00
12,PCBL,-,431.00,435.00,424.00,424.00,424.00,0.00,0.00,426.65,14775.00,431.00,6303695.00,76,-7.00,11.00,0.00,2.59,-0.62,0.00,0.00
13,PRVU,-,415.00,415.00,405.00,410.00,410.00,0.00,0.00,410.09,41474.00,415.00,17007902.00,157,-5.00,10.00,0.00,2.47,-0.02,0.00,0.00
14,SANIMA,-,456.00,460.00,451.00,452.00,452.00,0.00,0.00,453.98,16719.00,456.00,7590154.00,71,-4.00,9.00,0.00,2.00,-0.44,0.00,0.00
15,SBI,-,1007.00,1010.00,970.00,977.00,977.00,0.00,0.00,978.37,5004.00,1007.00,4895770.00,61,-30.00,40.00,0.00,4.12,-0.14,0.00,0.00
16,SBL,-,668.00,679.00,667.00,673.00,673.00,0.00,0.00,672.33,24613.00,668.00,16548104.00,172,5.00,12.00,0.00,1.80,0.10,0.00,0.00
17,SCB,-,2290.00,2290.00,2175.00,2201.00,2201.00,0.00,0.00,2223.97,6016.00,2290.00,13379386.00,204,-89.00,115.00,0.00,5.29,-1.04,0.00,0.00
