S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,49.72,401.00,406.00,401.00,405.00,405.00,0.00,0.00,403.83,11388.00,401.00,4598818.00,56,4.00,5.00,1.00,1.25,0.29,451.00,290.00
2,CZBIL,47.94,182.00,184.00,181.00,182.00,182.00,0.00,0.00,182.63,3403.00,183.00,621481.00,18,-1.00,3.00,-0.55,1.66,-0.34,243.00,178.00
3,EBL,47.64,550.00,551.00,542.00,546.00,546.00,0.00,0.00,543.86,3713.00,541.00,2019360.00,22,5.00,9.00,0.92,1.66,0.39,707.00,501.00
4,HBL,48.78,479.00,494.00,479.00,494.00,494.00,0.00,0.00,488.04,565.00,485.00,275741.00,7,9.00,15.00,1.86,3.13,1.21,644.00,418.00
5,KBL,48.34,180.00,180.00,177.00,179.00,179.00,0.00,0.00,178.10,12868.00,180.00,2291845.00,40,-1.00,3.00,-0.56,1.69,0.50,269.00,174.00
6,MBL,48.18,215.00,217.00,214.00,217.00,217.00,0.00,0.00,215.31,5133.00,215.00,1105165.00,19,2.00,3.00,0.93,1.40,0.78,295.00,203.00
7,NABIL,46.85,727.00,729.00,725.00,725.00,725.00,0.00,0.00,726.22,9772.00,725.00,7096626.00,70,0.00,4.00,0.00,0.55,-0.17,900.00,678.00
8,NBL,51.85,312.00,314.00,312.00,313.00,313.00,0.00,0.00,313.09,31054.00,312.00,9722802.00,76,1.00,2.00,0.32,0.64,-0.03,355.00,281.00
9,NICA,39.93,409.00,409.00,403.00,403.00,403.00,0.00,0.00,404.75,47834.00,405.00,19360746.00,125,-2.00,6.00,-0.49,1.49,-0.43,515.00,351.00
10,NMB,45.38,386.00,387.00,385.00,387.00,387.00,0.00,0.00,385.91,44700.00,385.00,17250400.00,221,2.00,2.00,0.52,0.52,0.28,400.00,300.00
11,PCBL,32.88,275.00,279.00,269.00,270.00,270.00,0.00,0.00,270.14,9761.00,270.00,2636870.00,54,0.00,10.00,0.00,3.72,-0.05,397.00,256.00
12,PRVU,41.73,225.00,227.00,224.00,227.00,227.00,0.00,0.00,225.74,16732.00,224.00,3777073.00,76,3.00,3.00,1.34,1.34,0.56,304.00,205.00
13,SANIMA,51.84,304.00,306.00,303.00,306.00,306.00,0.00,0.00,305.23,6259.00,304.00,1910439.00,28,2.00,3.00,0.66,0.99,0.25,371.00,286.00
14,SBI,32.94,348.00,348.00,346.00,348.00,348.00,0.00,0.00,347.31,833.00,347.00,289309.00,13,1.00,2.00,0.29,0.58,0.20,530.00,344.00
15,SBL,52.09,279.00,283.00,279.00,281.00,281.00,0.00,0.00,281.50,6552.00,280.00,1844409.00,19,1.00,4.00,0.36,1.43,-0.18,361.00,272.00
16,SCB,47.77,525.00,529.00,525.00,526.00,526.00,0.00,0.00,526.55,3036.00,526.00,1598598.00,37,0.00,4.00,0.00,0.76,-0.10,755.00,520.00
