S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,487.00,488.00,475.00,480.00,480.00,0.00,0.00,480.31,5292.00,487.00,2541780.00,19,-7.00,13.00,0.00,2.74,-0.06,0.00,0.00
2,CZBIL,-,690.00,700.00,670.00,673.00,673.00,0.00,0.00,678.64,21330.00,690.00,14475353.00,77,-17.00,30.00,0.00,4.48,-0.84,0.00,0.00
3,EBL,-,3280.00,3300.00,3201.00,3230.00,3230.00,0.00,0.00,3243.20,3175.00,3280.00,10297166.00,35,-50.00,99.00,0.00,3.09,-0.41,0.00,0.00
4,GBIME,-,539.00,547.00,535.00,538.00,538.00,0.00,0.00,538.72,15092.00,539.00,8130417.00,75,-1.00,12.00,0.00,2.24,-0.13,0.00,0.00
5,HBL,-,1396.00,1405.00,1370.00,1400.00,1400.00,0.00,0.00,1391.60,7638.00,1396.00,10629013.00,43,4.00,35.00,0.00,2.55,0.60,0.00,0.00
6,KBL,-,470.00,471.00,459.00,470.00,470.00,0.00,0.00,464.59,11184.00,470.00,5195938.00,37,0.00,12.00,0.00,2.61,1.15,0.00,0.00
7,MBL,-,566.00,575.00,557.00,560.00,560.00,0.00,0.00,561.61,14319.00,566.00,8041642.00,37,-6.00,18.00,0.00,3.23,-0.29,0.00,0.00
8,NABIL,-,2675.00,2725.00,2640.00,2640.00,2640.00,0.00,0.00,2657.98,7164.00,2675.00,19041772.00,66,-35.00,85.00,0.00,3.22,-0.68,0.00,0.00
9,NBL,-,289.00,289.00,282.00,285.00,285.00,0.00,0.00,284.59,11300.00,289.00,3215900.00,16,-4.00,7.00,0.00,2.48,0.14,0.00,0.00
10,NICA,-,968.00,975.00,949.00,952.00,952.00,0.00,0.00,952.56,28849.00,968.00,27480376.00,83,-16.00,26.00,0.00,2.74,-0.06,0.00,0.00
11,PCBL,-,650.00,663.00,645.00,650.00,650.00,0.00,0.00,650.20,73535.00,650.00,47812496.00,189,0.00,18.00,0.00,2.79,-0.03,0.00,0.00
12,PRVU,-,430.00,436.00,425.00,425.00,425.00,0.00,0.00,428.52,29984.00,430.00,12848842.00,98,-5.00,11.00,0.00,2.59,-0.83,0.00,0.00
13,SANIMA,-,803.00,819.00,789.00,797.00,797.00,0.00,0.00,795.89,23293.00,803.00,18538720.00,61,-6.00,30.00,0.00,3.80,0.14,0.00,0.00
14,SBI,-,1541.00,1540.00,1525.00,1530.00,1530.00,0.00,0.00,1536.56,2229.00,1541.00,3424985.00,15,-11.00,15.00,0.00,0.98,-0.43,0.00,0.00
15,SBL,-,830.00,842.00,815.00,815.00,815.00,0.00,0.00,823.22,11199.00,830.00,9219292.00,48,-15.00,27.00,0.00,3.31,-1.01,0.00,0.00
16,SCB,-,2851.00,2860.00,2805.00,2826.00,2826.00,0.00,0.00,2819.96,4528.00,2851.00,12768799.00,26,-25.00,55.00,0.00,1.96,0.21,0.00,0.00
