S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,53.92,245.50,245.50,239.00,241.00,241.00,0.00,0.00,240.40,22381.00,240.70,5380378.90,181,0.30,6.50,0.12,2.72,0.25,312.20,224.00
2,CZBIL,54.14,167.20,168.40,166.50,168.40,168.40,0.00,0.00,167.42,23291.00,167.50,3899304.00,127,0.90,1.90,0.54,1.14,0.58,207.80,158.90
3,EBL,46.28,539.50,539.50,530.00,533.90,533.90,0.00,0.00,532.90,22970.00,529.00,12240621.50,162,4.90,9.50,0.93,1.79,0.19,633.00,448.00
4,GBIME,44.63,196.90,200.80,194.10,194.50,194.50,0.00,0.00,195.13,43724.00,193.10,8531908.00,315,1.40,6.70,0.73,3.45,-0.32,241.90,176.00
5,HBL,52.89,205.00,205.00,199.40,200.00,200.00,0.00,0.00,200.28,41884.00,201.00,8388715.80,173,-1.00,5.60,-0.50,2.81,-0.14,305.00,193.00
6,KBL,57.31,152.20,152.20,149.00,149.80,149.80,0.00,0.00,149.61,272374.00,150.40,40748846.10,645,-0.60,3.20,-0.40,2.15,0.13,198.90,148.00
7,LSL,48.53,169.40,169.40,165.60,165.80,165.80,0.00,0.00,166.24,43163.00,166.10,7175232.90,175,-0.30,3.80,-0.18,2.29,-0.26,208.00,165.50
8,MBL,52.37,186.90,189.00,185.00,185.00,185.00,0.00,0.00,186.31,40659.00,184.80,7575080.70,175,0.20,4.00,0.11,2.16,-0.71,283.00,179.00
9,NABIL,45.57,484.50,484.50,474.50,475.10,475.10,0.00,0.00,476.26,72757.00,475.00,34651267.20,781,0.10,10.00,0.02,2.11,-0.24,705.70,474.50
10,NBL,48.72,233.60,238.00,231.00,231.50,231.50,0.00,0.00,232.69,21231.00,229.10,4940227.60,190,2.40,7.00,1.05,3.03,-0.51,295.00,227.30
11,NICA,54.41,487.30,487.30,478.60,479.00,479.00,0.00,0.00,480.13,52013.00,477.80,24972754.90,486,1.20,8.70,0.25,1.82,-0.23,852.00,459.00
12,NIMB,52.29,173.40,173.40,170.60,171.70,171.70,0.00,0.00,171.35,54105.00,170.00,9270932.70,283,1.70,2.80,1.00,1.64,0.20,232.20,168.00
13,NMB,50.18,195.00,195.00,190.60,192.00,192.00,0.00,0.00,192.35,42571.00,192.00,8188419.40,206,0.00,4.40,0.00,2.31,-0.18,252.00,189.10
14,PCBL,53.67,208.00,208.00,200.00,203.00,203.00,0.00,0.00,203.58,41433.00,204.00,8434903.50,222,-1.00,8.00,-0.49,4.00,-0.29,224.80,176.00
15,PRVU,49.74,156.00,156.80,154.00,154.40,154.40,0.00,0.00,155.15,56428.00,154.00,8754779.00,354,0.40,2.80,0.26,1.82,-0.49,206.00,152.30
16,SANIMA,55.11,249.90,250.00,245.10,246.00,246.00,0.00,0.00,246.47,31875.00,245.70,7856163.60,167,0.30,4.90,0.12,2.00,-0.19,310.00,225.50
17,SBI,50.08,295.80,295.80,290.40,293.00,293.00,0.00,0.00,292.68,14610.00,290.00,4276111.30,73,3.00,5.40,1.03,1.86,0.11,378.40,282.00
18,SBL,50.11,237.60,242.00,232.60,233.00,233.00,0.00,0.00,233.23,20492.00,233.00,4779318.70,141,0.00,9.40,0.00,4.04,-0.10,300.70,223.00
19,SCB,50.45,543.00,545.00,530.00,536.00,536.00,0.00,0.00,535.82,10024.00,535.10,5371046.10,115,0.90,15.00,0.17,2.83,0.03,582.00,495.00
