S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,440.00,450.00,440.00,441.00,441.00,0.00,0.00,443.57,9273.00,440.00,4113210.00,67,1.00,10.00,0.00,2.27,-0.58,0.00,0.00
2,CZBIL,-,377.00,380.00,372.00,372.00,372.00,0.00,0.00,373.74,10219.00,377.00,3819225.00,68,-5.00,8.00,0.00,2.15,-0.47,0.00,0.00
3,EBL,-,1740.00,1740.00,1715.00,1716.00,1716.00,0.00,0.00,1725.88,3337.00,1740.00,5759263.00,31,-24.00,25.00,0.00,1.46,-0.58,0.00,0.00
4,GBIME,-,414.00,417.00,405.00,405.00,405.00,0.00,0.00,410.34,13443.00,414.00,5516217.00,86,-9.00,12.00,0.00,2.96,-1.32,0.00,0.00
5,HBL,-,860.00,860.00,855.00,855.00,855.00,0.00,0.00,857.41,277.00,860.00,237503.00,7,-5.00,5.00,0.00,0.58,-0.28,0.00,0.00
6,KBL,-,322.00,327.00,322.00,322.00,322.00,0.00,0.00,324.22,3658.00,322.00,1185982.00,28,0.00,5.00,0.00,1.55,-0.69,0.00,0.00
7,MBL,-,357.00,357.00,350.00,350.00,350.00,0.00,0.00,352.48,18557.00,357.00,6541056.00,47,-7.00,7.00,0.00,2.00,-0.71,0.00,0.00
8,NABIL,-,1455.00,1465.00,1440.00,1449.00,1449.00,0.00,0.00,1452.42,1385.00,1455.00,2011608.00,17,-6.00,25.00,0.00,1.74,-0.24,0.00,0.00
9,NBL,-,365.00,373.00,360.00,365.00,365.00,0.00,0.00,363.65,19860.00,365.00,7222060.00,53,0.00,13.00,0.00,3.61,0.37,0.00,0.00
10,NICA,-,435.00,441.00,435.00,435.00,435.00,0.00,0.00,437.23,16549.00,435.00,7235797.00,135,0.00,6.00,0.00,1.38,-0.51,0.00,0.00
11,NMB,-,456.00,461.00,451.00,455.00,455.00,0.00,0.00,456.06,7299.00,456.00,3328809.00,49,-1.00,10.00,0.00,2.22,-0.23,0.00,0.00
12,PCBL,-,374.00,375.00,371.00,372.00,372.00,0.00,0.00,372.86,3258.00,374.00,1214764.00,38,-2.00,4.00,0.00,1.08,-0.23,0.00,0.00
13,PRVU,-,307.00,313.00,306.00,307.00,307.00,0.00,0.00,308.11,21465.00,307.00,6613491.00,99,0.00,7.00,0.00,2.29,-0.36,0.00,0.00
14,SANIMA,-,470.00,480.00,465.00,472.00,472.00,0.00,0.00,474.26,43721.00,470.00,20734948.00,189,2.00,15.00,0.00,3.23,-0.48,0.00,0.00
15,SBI,-,1072.00,1070.00,1056.00,1056.00,1056.00,0.00,0.00,1062.23,560.00,1072.00,594850.00,8,-16.00,14.00,0.00,1.33,-0.59,0.00,0.00
16,SBL,-,570.00,580.00,569.00,569.00,569.00,0.00,0.00,574.77,4399.00,570.00,2528432.00,43,-1.00,11.00,0.00,1.93,-1.01,0.00,0.00
17,SCB,-,2000.00,1990.00,1925.00,1925.00,1925.00,0.00,0.00,1963.78,4546.00,2000.00,8927330.00,47,-75.00,65.00,0.00,3.38,-2.01,0.00,0.00
