S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,347.00,347.00,344.00,346.00,346.00,0.00,0.00,345.01,5455.00,345.00,1882026.00,31,1.00,3.00,0.29,0.87,0.29,451.00,283.00
2,CZBIL,-,236.00,238.00,234.00,238.00,238.00,0.00,0.00,235.64,12894.00,237.00,3038308.00,67,1.00,4.00,0.42,1.71,0.99,309.00,223.00
3,EBL,-,564.00,575.00,564.00,571.00,571.00,0.00,0.00,569.37,6522.00,575.00,3713422.00,52,-4.00,11.00,-0.70,1.95,0.29,1234.00,564.00
4,GBIME,-,314.00,316.00,311.00,316.00,316.00,0.00,0.00,313.34,8638.00,315.00,2706615.00,31,1.00,5.00,0.32,1.61,0.84,344.00,275.00
5,HBL,-,530.00,531.00,525.00,525.00,525.00,0.00,0.00,527.61,552.00,531.00,291240.00,11,-6.00,6.00,-1.13,1.14,-0.50,888.00,523.00
6,KBL,-,250.00,252.00,248.00,250.00,250.00,0.00,0.00,249.99,23917.00,252.00,5979030.00,54,-2.00,4.00,-0.79,1.61,0.00,313.00,187.00
7,MBL,-,218.00,221.00,217.00,220.00,220.00,0.00,0.00,218.27,9226.00,221.00,2013788.00,31,-1.00,4.00,-0.45,1.84,0.78,299.00,200.00
8,NABIL,-,915.00,918.00,908.00,917.00,917.00,0.00,0.00,912.45,2568.00,917.00,2343176.00,31,0.00,10.00,0.00,1.10,0.50,1200.00,888.00
9,NBL,-,295.00,296.00,294.00,295.00,295.00,0.00,0.00,294.98,102889.00,295.00,30350296.00,106,0.00,2.00,0.00,0.68,0.01,384.00,280.00
10,NICA,-,417.00,418.00,412.00,413.00,413.00,0.00,0.00,414.99,17192.00,418.00,7134474.00,75,-5.00,6.00,-1.20,1.46,-0.48,459.00,285.00
11,NMB,-,343.00,345.00,341.00,344.00,344.00,0.00,0.00,343.28,8350.00,344.00,2866398.00,48,0.00,4.00,0.00,1.17,0.21,502.00,303.00
12,PCBL,-,325.00,331.00,327.00,328.00,328.00,0.00,0.00,328.59,6603.00,331.00,2169707.00,48,-3.00,4.00,-0.91,1.22,-0.18,456.00,265.00
13,PRVU,-,254.00,254.00,248.00,249.00,249.00,0.00,0.00,249.90,42261.00,252.00,10560970.00,101,-3.00,6.00,-1.19,2.42,-0.36,370.00,175.00
14,SANIMA,-,333.00,333.00,326.00,327.00,327.00,0.00,0.00,326.90,6723.00,328.00,2197728.00,26,-1.00,7.00,-0.30,2.15,0.03,386.00,305.00
15,SBI,-,449.00,457.00,441.00,448.00,448.00,0.00,0.00,447.89,4863.00,455.00,2178072.00,31,-7.00,16.00,-1.54,3.63,0.03,775.00,441.00
16,SBL,-,324.00,326.00,321.00,322.00,322.00,0.00,0.00,322.43,10863.00,324.00,3502538.00,38,-2.00,5.00,-0.62,1.56,-0.13,403.00,276.00
17,SCB,-,605.00,615.00,605.00,609.00,609.00,0.00,0.00,609.51,5670.00,615.00,3455897.00,68,-6.00,10.00,-0.98,1.65,-0.08,2299.00,605.00
