S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,483.00,492.00,470.00,470.00,470.00,0.00,0.00,477.36,3121.00,483.00,1489850.00,27,-13.00,22.00,0.00,4.68,-1.57,0.00,0.00
2,CZBIL,-,446.00,446.00,430.00,440.00,440.00,0.00,0.00,440.07,4464.00,446.00,1964484.00,58,-6.00,16.00,0.00,3.72,-0.02,0.00,0.00
3,EBL,-,1763.00,1763.00,1700.00,1750.00,1750.00,0.00,0.00,1739.69,1854.00,1763.00,3225376.00,28,-13.00,63.00,0.00,3.71,0.59,0.00,0.00
4,GBIME,-,404.00,408.00,396.00,400.00,400.00,0.00,0.00,401.02,18646.00,404.00,7477472.00,63,-4.00,12.00,0.00,3.03,-0.26,0.00,0.00
5,HBL,-,870.00,869.00,837.00,869.00,869.00,0.00,0.00,857.56,1322.00,870.00,1133694.00,14,-1.00,32.00,0.00,3.82,1.32,0.00,0.00
6,KBL,-,523.00,533.00,505.00,519.00,519.00,0.00,0.00,515.18,13078.00,523.00,6737559.00,65,-4.00,28.00,0.00,5.54,0.74,0.00,0.00
7,MBL,-,378.00,378.00,364.00,372.00,372.00,0.00,0.00,369.80,4814.00,378.00,1780195.00,39,-6.00,14.00,0.00,3.85,0.59,0.00,0.00
8,NABIL,-,1455.00,1480.00,1412.00,1455.00,1455.00,0.00,0.00,1467.84,4887.00,1455.00,7173313.00,39,0.00,68.00,0.00,4.82,-0.88,0.00,0.00
9,NBL,-,375.00,375.00,361.00,365.00,365.00,0.00,0.00,366.67,9360.00,375.00,3432059.00,31,-10.00,14.00,0.00,3.88,-0.46,0.00,0.00
10,NICA,-,475.00,473.00,453.00,466.00,466.00,0.00,0.00,463.97,5095.00,475.00,2363946.00,46,-9.00,20.00,0.00,4.42,0.43,0.00,0.00
11,NMB,-,483.00,483.00,466.00,475.00,475.00,0.00,0.00,473.71,4034.00,483.00,1910948.00,34,-8.00,17.00,0.00,3.65,0.27,0.00,0.00
12,PCBL,-,401.00,405.00,372.00,383.00,383.00,0.00,0.00,384.80,16533.00,401.00,6361920.00,116,-18.00,33.00,0.00,8.87,-0.47,0.00,0.00
13,PRVU,-,314.00,310.00,300.00,306.00,306.00,0.00,0.00,304.76,52132.00,314.00,15887944.00,242,-8.00,10.00,0.00,3.33,0.40,0.00,0.00
14,SANIMA,-,483.00,490.00,475.00,483.00,483.00,0.00,0.00,480.63,14956.00,483.00,7188304.00,131,0.00,15.00,0.00,3.16,0.49,0.00,0.00
15,SBI,-,1120.00,1100.00,1065.00,1075.00,1075.00,0.00,0.00,1081.41,5457.00,1120.00,5901263.00,52,-45.00,35.00,0.00,3.29,-0.60,0.00,0.00
16,SBL,-,655.00,660.00,630.00,630.00,630.00,0.00,0.00,635.27,6113.00,655.00,3883422.00,57,-25.00,30.00,0.00,4.76,-0.84,0.00,0.00
17,SCB,-,2090.00,2059.00,2000.00,2058.00,2058.00,0.00,0.00,2036.11,4142.00,2090.00,8433585.00,48,-32.00,59.00,0.00,2.95,1.06,0.00,0.00
