S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,44.96,243.70,243.70,234.40,239.00,239.00,0.00,0.00,236.35,14870.00,239.00,3514468.30,128,0.00,9.30,0.00,3.97,1.11,275.00,223.00
2,CZBIL,51.04,158.10,158.10,153.00,156.00,156.00,0.00,0.00,154.45,10444.00,155.00,1613044.50,82,1.00,5.10,0.65,3.33,1.00,207.80,152.50
3,EBL,50.11,501.00,503.00,494.00,500.00,500.00,0.00,0.00,496.69,33282.00,499.00,16530723.20,173,1.00,9.00,0.20,1.82,0.66,633.00,448.00
4,GBIME,44.14,176.60,176.60,170.50,174.00,174.00,0.00,0.00,172.84,56128.00,173.20,9701160.00,339,0.80,6.10,0.46,3.58,0.67,241.90,170.00
5,HBL,52.80,173.90,173.90,169.50,173.00,173.00,0.00,0.00,172.05,15033.00,170.50,2586477.90,121,2.50,4.40,1.47,2.60,0.55,243.10,167.10
6,KBL,51.42,134.60,134.60,130.10,132.20,132.20,0.00,0.00,131.37,114108.00,132.00,14990247.90,292,0.20,4.50,0.15,3.46,0.63,195.80,129.60
7,LSL,50.56,149.10,149.10,143.80,146.50,146.50,0.00,0.00,144.68,60782.00,146.20,8793867.90,178,0.30,5.30,0.21,3.69,1.24,208.00,143.60
8,MBL,46.57,165.20,165.20,158.90,161.70,161.70,0.00,0.00,161.74,21767.00,162.00,3520675.20,95,-0.30,6.30,-0.19,3.96,-0.03,283.00,157.80
9,NABIL,48.85,421.10,425.00,420.00,422.00,422.00,0.00,0.00,422.39,44038.00,422.70,18601027.30,504,-0.70,5.00,-0.17,1.19,-0.09,653.00,419.00
10,NBL,52.36,203.90,203.90,199.20,202.00,202.00,0.00,0.00,200.84,32310.00,208.00,6489043.90,192,-6.00,4.70,-2.88,2.36,0.58,280.00,195.10
11,NICA,50.59,350.00,355.00,347.00,352.00,352.00,0.00,0.00,350.76,39449.00,350.00,13837283.50,243,2.00,8.00,0.57,2.31,0.35,852.00,341.60
12,NIMB,46.62,153.00,153.00,149.20,150.50,150.50,0.00,0.00,150.97,38134.00,150.00,5757120.30,215,0.50,3.80,0.33,2.55,-0.31,217.00,147.40
13,NMB,53.81,169.00,172.00,168.20,171.00,171.00,0.00,0.00,170.68,26882.00,169.70,4588191.60,142,1.30,3.80,0.77,2.26,0.19,252.00,162.00
14,PCBL,53.64,194.80,194.80,190.10,193.00,193.00,0.00,0.00,191.83,35760.00,191.00,6859861.70,174,2.00,4.70,1.05,2.47,0.61,224.80,176.00
15,PRVU,53.64,136.60,137.20,134.60,136.00,136.00,0.00,0.00,136.10,56576.00,134.00,7699919.20,264,2.00,2.60,1.49,1.93,-0.07,206.00,132.00
16,SANIMA,58.89,236.60,240.00,232.00,235.10,235.10,0.00,0.00,236.71,74015.00,232.00,17519898.60,225,3.10,8.00,1.34,3.45,-0.68,310.00,225.50
17,SBI,45.29,270.00,278.80,270.00,271.40,271.40,0.00,0.00,273.06,7449.00,270.20,2034001.20,53,1.20,8.80,0.44,3.26,-0.61,378.40,268.60
18,SBL,48.11,224.40,225.00,219.50,223.00,223.00,0.00,0.00,221.86,50226.00,220.00,11142912.90,155,3.00,5.50,1.36,2.51,0.51,291.70,212.20
19,SCB,58.51,515.00,523.50,513.00,523.50,523.50,0.00,0.00,521.46,21057.00,515.00,10980343.70,113,8.50,10.50,1.65,2.05,0.39,582.00,497.40
