S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,69.42,455.00,455.00,434.00,439.00,439.00,0.00,0.00,436.99,70842.00,445.00,30957188.00,472,-6.00,21.00,-1.35,4.84,0.46,576.00,313.00
2,CZBIL,69.54,310.00,315.00,307.00,310.00,310.00,0.00,0.00,311.10,160064.00,308.00,49795355.00,623,2.00,8.00,0.65,2.61,-0.35,333.00,164.00
3,EBL,65.67,760.00,769.00,752.00,752.00,752.00,0.00,0.00,760.63,29185.00,755.00,22199061.00,241,-3.00,17.00,-0.40,2.26,-1.15,864.00,520.00
4,GBIME,65.49,440.00,444.00,434.00,437.00,437.00,0.00,0.00,437.94,173432.00,438.00,75952685.00,1236,-1.00,10.00,-0.23,2.30,-0.21,522.00,211.00
5,HBL,67.79,506.00,506.00,503.00,505.00,505.00,0.00,0.00,504.29,16113.00,500.00,8125644.00,188,5.00,3.00,1.00,0.60,0.14,749.00,452.00
6,KBL,70.01,310.00,320.00,306.00,317.00,317.00,0.00,0.00,312.23,424195.00,309.00,132445244.00,1147,8.00,14.00,2.59,4.58,1.51,330.00,153.00
7,MBL,61.02,303.00,311.00,303.00,308.00,308.00,0.00,0.00,307.53,100525.00,305.00,30914790.00,412,3.00,8.00,0.98,2.64,0.15,352.00,199.00
8,NABIL,67.45,1294.00,1318.00,1280.00,1283.00,1283.00,0.00,0.00,1290.53,108284.00,1294.00,139743752.00,911,-11.00,38.00,-0.85,2.97,-0.59,1550.00,594.00
9,NBL,65.07,465.00,465.00,439.00,443.00,443.00,0.00,0.00,441.95,132276.00,443.00,58458771.00,425,0.00,26.00,0.00,5.92,0.24,491.00,214.00
10,NICA,69.44,910.00,910.00,899.00,907.00,907.00,0.00,0.00,905.70,168392.00,903.00,152513129.00,925,4.00,11.00,0.44,1.22,0.14,1000.00,422.00
11,NMB,66.47,432.00,432.00,425.00,426.00,426.00,0.00,0.00,426.46,109706.00,428.00,46785739.00,649,-2.00,7.00,-0.47,1.65,-0.11,505.00,321.00
12,PCBL,67.35,444.00,445.00,436.00,438.00,438.00,0.00,0.00,439.54,82896.00,437.00,36435771.00,366,1.00,9.00,0.23,2.06,-0.35,495.00,219.19
13,PRVU,67.74,460.00,460.00,454.00,458.00,458.00,0.00,0.00,456.86,188551.00,454.00,86141885.00,1019,4.00,6.00,0.88,1.32,0.25,514.00,195.00
14,SANIMA,70.09,381.00,382.00,375.00,376.00,376.00,0.00,0.00,377.83,145930.00,376.00,55136522.00,503,0.00,7.00,0.00,1.87,-0.49,411.00,287.00
15,SBI,72.80,418.00,421.00,411.00,420.00,420.00,0.00,0.00,416.31,82973.00,410.00,34542092.00,234,10.00,10.00,2.44,2.43,0.88,506.00,373.00
16,SBL,72.82,430.00,435.00,423.00,425.00,425.00,0.00,0.00,427.90,211138.00,427.00,90346162.00,488,-2.00,12.00,-0.47,2.84,-0.68,479.00,252.00
17,SCB,71.44,599.00,620.00,597.00,620.00,620.00,0.00,0.00,604.48,73370.00,601.00,44350962.00,543,19.00,23.00,3.16,3.85,2.50,754.00,505.00
