S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,48.33,540.00,545.00,527.00,528.00,528.00,0.00,0.00,531.70,117229.00,535.00,62330404.00,581,-7.00,18.00,-1.31,3.42,-0.70,576.00,313.00
2,CZBIL,60.63,240.00,244.00,238.00,239.00,239.00,0.00,0.00,240.98,77897.00,242.00,18771739.00,290,-3.00,6.00,-1.24,2.52,-0.83,278.00,164.00
3,EBL,60.25,745.00,745.00,703.00,708.00,708.00,0.00,0.00,707.76,46551.00,714.00,32947076.00,243,-6.00,42.00,-0.84,5.97,0.03,932.00,517.00
4,GBIME,53.09,358.00,358.00,338.00,339.00,339.00,0.00,0.00,341.55,205468.00,341.00,70176992.00,809,-2.00,20.00,-0.59,5.92,-0.75,383.00,211.00
5,HBL,50.90,670.00,675.00,652.00,656.00,656.00,0.00,0.00,659.45,22882.00,663.00,15089586.00,163,-7.00,23.00,-1.06,3.53,-0.53,749.00,452.00
6,KBL,60.17,254.00,254.00,238.00,239.00,239.00,0.00,0.00,239.48,129053.00,242.00,30905476.00,356,-3.00,16.00,-1.24,6.72,-0.20,303.00,153.00
7,MBL,63.48,263.00,263.00,249.00,251.00,251.00,0.00,0.00,251.80,90224.00,251.00,22718438.00,221,0.00,14.00,0.00,5.62,-0.32,295.00,199.00
8,NABIL,57.30,1210.00,1293.00,1202.00,1240.00,1240.00,0.00,0.00,1238.83,161533.00,1227.00,200111684.00,1104,13.00,91.00,1.06,7.57,0.09,1293.00,594.00
9,NBL,58.57,415.00,419.00,411.00,417.00,417.00,0.00,0.00,415.61,544738.00,411.00,226396434.00,954,6.00,8.00,1.46,1.95,0.33,427.00,214.00
10,NICA,65.81,680.00,680.00,667.00,672.00,672.00,0.00,0.00,673.62,284988.00,667.00,191974002.00,930,5.00,13.00,0.75,1.95,-0.24,720.00,405.00
11,NMB,55.79,460.00,462.00,452.00,454.00,454.00,0.00,0.00,455.88,115112.00,456.00,52477832.00,591,-2.00,10.00,-0.44,2.21,-0.42,517.00,321.00
12,PCBL,53.08,429.00,429.00,404.00,405.00,405.00,0.00,0.00,406.98,123805.00,409.00,50385848.00,426,-4.00,25.00,-0.98,6.19,-0.49,436.00,219.19
13,PRVU,54.40,374.00,374.00,351.00,353.00,353.00,0.00,0.00,357.16,229498.00,357.00,81968431.00,755,-4.00,23.00,-1.12,6.55,-1.18,400.00,195.00
14,SANIMA,64.99,334.00,334.00,318.00,319.00,319.00,0.00,0.00,320.42,107087.00,319.00,34312658.00,312,0.00,16.00,0.00,5.03,-0.44,437.00,287.00
15,SBI,61.33,438.00,438.00,423.00,429.00,429.00,0.00,0.00,426.34,28445.00,430.00,12127202.00,122,-1.00,15.00,-0.23,3.55,0.62,583.00,346.00
16,SBL,56.36,395.00,395.00,370.00,372.00,372.00,0.00,0.00,372.86,66479.00,377.00,24787274.00,238,-5.00,25.00,-1.33,6.76,-0.23,408.00,252.00
17,SCB,62.66,655.00,680.00,655.00,659.00,659.00,0.00,0.00,664.87,29663.00,667.00,19721966.00,270,-8.00,25.00,-1.20,3.82,-0.89,850.00,505.00
