S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,390.00,390.00,384.00,389.00,389.00,0.00,0.00,387.36,39057.00,388.00,15128947.00,137,1.00,6.00,0.26,1.56,0.42,410.00,290.00
2,CZBIL,-,230.00,233.00,226.00,226.00,226.00,0.00,0.00,229.35,28891.00,229.00,6626128.00,96,-3.00,7.00,-1.31,3.10,-1.48,275.00,199.00
3,EBL,-,671.00,688.00,666.00,675.00,675.00,0.00,0.00,673.44,25417.00,675.00,17116898.00,124,0.00,22.00,0.00,3.30,0.23,790.00,501.00
4,GBIME,-,313.00,317.00,312.00,312.00,312.00,0.00,0.00,314.68,20887.00,313.00,6572688.00,110,-1.00,5.00,-0.32,1.60,-0.86,336.00,255.00
5,HBL,-,591.00,593.00,585.00,588.00,588.00,0.00,0.00,589.30,7373.00,590.00,4344927.00,49,-2.00,8.00,-0.34,1.37,-0.22,620.00,418.00
6,KBL,-,230.00,233.00,226.00,228.00,228.00,0.00,0.00,229.37,47575.00,229.00,10912480.00,107,-1.00,7.00,-0.44,3.10,-0.60,269.00,187.00
7,MBL,-,274.00,274.00,267.00,268.00,268.00,0.00,0.00,270.80,29459.00,270.00,7977591.00,82,-2.00,7.00,-0.74,2.62,-1.05,282.00,200.00
8,NABIL,-,856.00,869.00,850.00,850.00,850.00,0.00,0.00,854.08,8243.00,851.00,7040204.00,66,-1.00,19.00,-0.12,2.24,-0.48,1022.00,678.00
9,NBL,-,317.00,317.00,311.00,311.00,311.00,0.00,0.00,313.76,141441.00,315.00,44378032.00,281,-4.00,6.00,-1.27,1.93,-0.89,360.00,280.00
10,NICA,-,490.00,502.00,484.00,494.00,494.00,0.00,0.00,496.11,33241.00,496.00,16491329.00,175,-2.00,18.00,-0.40,3.72,-0.43,515.00,304.00
11,NMB,-,385.00,391.00,385.00,387.00,387.00,0.00,0.00,387.67,68794.00,386.00,26669640.00,252,1.00,6.00,0.26,1.56,-0.17,471.00,300.00
12,PCBL,-,361.00,361.00,355.00,357.00,357.00,0.00,0.00,356.65,20581.00,357.00,7340155.00,90,0.00,6.00,0.00,1.69,0.10,370.00,273.00
13,PRVU,-,291.00,291.00,284.00,286.00,286.00,0.00,0.00,286.49,81997.00,288.00,23491628.00,208,-2.00,7.00,-0.69,2.46,-0.17,304.00,175.00
14,SANIMA,-,360.00,363.00,358.00,360.00,360.00,0.00,0.00,360.12,29261.00,356.00,10537438.00,118,4.00,5.00,1.12,1.40,-0.03,370.00,286.00
15,SBI,-,506.00,506.00,483.00,488.00,488.00,0.00,0.00,491.53,6141.00,497.00,3018470.00,50,-9.00,23.00,-1.81,4.76,-0.72,571.00,366.00
16,SBL,-,352.00,353.00,347.00,348.00,348.00,0.00,0.00,349.38,33046.00,349.00,11545468.00,92,-1.00,6.00,-0.29,1.73,-0.40,361.00,272.00
17,SCB,-,710.00,724.00,702.00,709.00,709.00,0.00,0.00,713.65,17873.00,710.00,12755038.00,170,-1.00,22.00,-0.14,3.13,-0.66,839.00,520.00
