S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,35.38,357.00,359.00,352.70,353.00,353.00,0.00,0.00,354.32,55719.00,358.90,19742115.60,360,-5.90,6.30,-1.64,1.79,-0.37,428.40,223.00
2,CZBIL,38.62,235.00,236.60,229.00,230.00,230.00,0.00,0.00,231.39,77466.00,232.00,17924877.80,251,-2.00,7.60,-0.86,3.32,-0.60,296.00,152.50
3,EBL,33.13,620.00,620.00,605.10,607.00,607.00,0.00,0.00,608.19,38133.00,609.90,23191994.90,173,-2.90,14.90,-0.48,2.46,-0.20,790.00,458.20
4,GBIME,34.87,258.50,259.80,254.10,255.00,255.00,0.00,0.00,255.48,360990.00,256.90,92227100.60,992,-1.90,5.70,-0.74,2.24,-0.19,302.00,170.00
5,HBL,32.00,257.00,257.00,252.30,254.00,254.00,0.00,0.00,254.11,60610.00,256.00,15401782.30,207,-2.00,4.70,-0.78,1.86,-0.04,312.10,167.10
6,KBL,35.22,224.00,226.90,220.00,220.80,220.80,0.00,0.00,221.77,272994.00,224.00,60542902.00,820,-3.20,6.90,-1.43,3.14,-0.44,272.90,129.60
7,LSL,30.92,254.00,256.50,250.00,250.00,250.00,0.00,0.00,253.06,145187.00,254.00,36740798.60,311,-4.00,6.50,-1.57,2.60,-1.22,300.00,143.60
8,MBL,32.30,267.90,268.00,260.00,260.20,260.20,0.00,0.00,261.62,122925.00,268.00,32159658.50,344,-7.80,8.00,-2.91,3.08,-0.55,295.00,157.80
9,NABIL,38.47,565.00,565.00,552.20,553.70,553.70,0.00,0.00,554.55,56753.00,557.00,31472593.90,576,-3.30,12.80,-0.59,2.32,-0.15,700.00,419.00
10,NBL,30.60,281.20,283.00,278.00,280.00,280.00,0.00,0.00,279.85,70864.00,281.20,19831327.50,285,-1.20,5.00,-0.43,1.80,0.05,337.50,195.10
11,NICA,37.53,431.00,433.00,426.00,426.30,426.30,0.00,0.00,428.36,111250.00,429.90,47655052.80,537,-3.60,7.00,-0.84,1.64,-0.48,573.00,341.60
12,NIMB,37.19,230.30,232.90,229.00,229.80,229.80,0.00,0.00,230.25,116477.00,232.50,26818559.10,486,-2.70,3.90,-1.16,1.70,-0.19,295.00,147.40
13,NMB,36.74,257.00,260.90,255.00,255.00,255.00,0.00,0.00,256.33,48916.00,257.00,12538521.30,203,-2.00,5.90,-0.78,2.31,-0.52,300.00,162.00
14,PCBL,33.48,275.00,279.00,272.60,276.00,276.00,0.00,0.00,274.37,167567.00,277.00,45974826.90,496,-1.00,6.40,-0.36,2.35,0.59,329.00,185.00
15,PRVU,34.07,241.00,241.00,234.00,235.00,235.00,0.00,0.00,235.86,153946.00,238.00,36309121.80,655,-3.00,7.00,-1.26,2.99,-0.36,297.00,132.00
16,SANIMA,38.30,323.00,323.00,315.00,315.10,315.10,0.00,0.00,317.14,123848.00,318.00,39277577.80,330,-2.90,8.00,-0.91,2.54,-0.65,382.00,228.00
17,SBI,26.91,476.00,476.00,459.70,459.70,459.70,0.00,0.00,461.28,40523.00,467.00,18692493.70,199,-7.30,16.30,-1.56,3.55,-0.34,549.00,268.60
18,SBL,39.90,325.00,326.00,322.70,323.50,323.50,0.00,0.00,323.67,83732.00,323.90,27101915.70,180,-0.40,3.30,-0.12,1.02,-0.05,380.00,212.20
19,SCB,38.26,751.50,768.00,751.50,760.00,760.00,0.00,0.00,760.10,48261.00,763.00,36682951.00,339,-3.00,16.50,-0.39,2.20,-0.01,790.00,497.40
