S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,330.00,332.00,329.00,329.00,329.00,0.00,0.00,330.68,13830.00,332.00,4573349.00,45,-3.00,3.00,-0.90,0.91,-0.51,382.00,283.00
2,CZBIL,-,205.00,206.00,200.00,203.00,203.00,0.00,0.00,202.17,16306.00,205.00,3296572.00,73,-2.00,6.00,-0.98,3.00,0.41,300.00,200.00
3,EBL,-,515.00,515.00,508.00,510.00,510.00,0.00,0.00,510.38,9605.00,513.00,4902200.00,64,-3.00,7.00,-0.58,1.38,-0.07,900.00,508.00
4,GBIME,-,266.00,266.00,260.00,262.00,262.00,0.00,0.00,261.42,4404.00,263.00,1151313.00,33,-1.00,6.00,-0.38,2.31,0.22,344.00,259.00
5,HBL,-,430.00,430.00,423.00,423.00,423.00,0.00,0.00,425.48,663.00,426.00,282090.00,11,-3.00,7.00,-0.70,1.65,-0.59,682.00,423.00
6,KBL,-,236.00,240.00,236.00,237.00,237.00,0.00,0.00,237.48,8560.00,238.00,2032849.00,35,-1.00,4.00,-0.42,1.69,-0.20,290.00,187.00
7,MBL,-,210.00,210.00,207.00,207.00,207.00,0.00,0.00,208.25,28984.00,209.00,6036029.00,63,-2.00,3.00,-0.96,1.45,-0.61,274.00,200.00
8,NABIL,-,830.00,830.00,818.00,822.00,822.00,0.00,0.00,822.03,3151.00,825.00,2590226.00,48,-3.00,12.00,-0.36,1.47,0.00,1130.00,818.00
9,NBL,-,285.00,287.00,285.00,285.00,285.00,0.00,0.00,285.72,43442.00,287.00,12412360.00,87,-2.00,2.00,-0.70,0.70,-0.25,375.00,280.00
10,NICA,-,388.00,392.00,384.00,384.00,384.00,0.00,0.00,386.57,15606.00,386.00,6032824.00,66,-2.00,8.00,-0.52,2.08,-0.67,459.00,285.00
11,NMB,-,312.00,317.00,309.00,311.00,311.00,0.00,0.00,312.24,17557.00,311.00,5481991.00,89,0.00,8.00,0.00,2.59,-0.40,502.00,303.00
12,PCBL,-,317.00,317.00,313.00,314.00,314.00,0.00,0.00,314.20,12444.00,315.00,3909923.00,49,-1.00,4.00,-0.32,1.28,-0.06,352.00,265.00
13,PRVU,-,236.00,238.00,231.00,232.00,232.00,0.00,0.00,233.10,42031.00,236.00,9797484.00,156,-4.00,7.00,-1.69,3.03,-0.47,261.00,175.00
14,SANIMA,-,296.00,297.00,294.00,294.00,294.00,0.00,0.00,294.73,7687.00,295.00,2265584.00,34,-1.00,3.00,-0.34,1.02,-0.25,386.00,292.00
15,SBI,-,380.00,381.00,377.00,378.00,378.00,0.00,0.00,378.94,2801.00,381.00,1061400.00,21,-3.00,4.00,-0.79,1.06,-0.25,634.00,376.00
16,SBL,-,281.00,283.00,278.00,278.00,278.00,0.00,0.00,279.42,9427.00,281.00,2634085.00,40,-3.00,5.00,-1.07,1.80,-0.51,375.00,276.00
17,SCB,-,552.00,555.00,541.00,542.00,542.00,0.00,0.00,544.12,4235.00,547.00,2304366.00,63,-5.00,14.00,-0.91,2.59,-0.39,1050.00,541.00
