S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,59.03,438.00,438.00,429.00,429.00,429.00,0.00,0.00,431.32,32906.00,437.00,14193056.00,281,-8.00,9.00,-1.83,2.10,-0.54,576.00,313.00
2,CZBIL,58.83,307.00,308.00,299.00,300.00,300.00,0.00,0.00,301.79,70102.00,305.00,21156147.00,276,-5.00,9.00,-1.64,3.01,-0.60,333.00,164.00
3,EBL,56.44,752.00,753.00,735.00,736.00,736.00,0.00,0.00,740.04,34545.00,745.00,25564574.00,217,-9.00,18.00,-1.21,2.45,-0.55,864.00,520.00
4,GBIME,58.04,459.00,459.00,430.00,432.00,432.00,0.00,0.00,433.58,163519.00,438.00,70899356.00,1127,-6.00,29.00,-1.37,6.74,-0.37,522.00,211.00
5,HBL,59.91,510.00,514.00,500.00,503.00,503.00,0.00,0.00,503.19,18180.00,505.00,9147973.00,152,-2.00,14.00,-0.40,2.80,-0.04,749.00,452.00
6,KBL,60.10,308.00,310.00,301.00,301.00,301.00,0.00,0.00,304.20,157456.00,306.00,47898372.00,513,-5.00,9.00,-1.63,2.99,-1.06,330.00,153.00
7,MBL,57.70,307.00,308.00,299.00,300.00,300.00,0.00,0.00,302.13,49436.00,307.00,14935969.00,258,-7.00,9.00,-2.28,3.01,-0.71,352.00,199.00
8,NABIL,59.73,1271.00,1295.00,1238.00,1244.00,1244.00,0.00,0.00,1255.33,93451.00,1259.00,117311727.00,872,-15.00,57.00,-1.19,4.60,-0.91,1550.00,594.00
9,NBL,60.09,444.00,444.00,429.00,430.00,430.00,0.00,0.00,433.13,208742.00,436.00,90411528.00,409,-6.00,15.00,-1.38,3.50,-0.73,491.00,214.00
10,NICA,57.40,909.00,909.00,876.00,881.00,881.00,0.00,0.00,884.29,69309.00,893.00,61288960.00,502,-12.00,33.00,-1.34,3.77,-0.37,1000.00,422.00
11,NMB,60.19,430.00,430.00,422.00,423.00,423.00,0.00,0.00,423.78,126669.00,428.00,53679836.00,559,-5.00,8.00,-1.17,1.90,-0.18,505.00,321.00
12,PCBL,59.77,440.00,441.00,428.00,436.00,436.00,0.00,0.00,433.04,87843.00,435.00,38039968.00,262,1.00,13.00,0.23,3.04,0.68,495.00,219.19
13,PRVU,58.63,450.00,450.00,440.00,441.00,441.00,0.00,0.00,443.75,129535.00,447.00,57481031.00,643,-6.00,10.00,-1.34,2.27,-0.62,514.00,195.00
14,SANIMA,56.00,370.00,370.00,356.00,359.00,359.00,0.00,0.00,359.88,35065.00,365.00,12619142.00,222,-6.00,14.00,-1.64,3.93,-0.24,411.00,287.00
15,SBI,58.10,421.00,421.00,410.00,410.00,410.00,0.00,0.00,410.84,23706.00,413.00,9739327.00,106,-3.00,11.00,-0.73,2.68,-0.20,506.00,373.00
16,SBL,59.31,411.00,411.00,402.00,402.00,402.00,0.00,0.00,405.34,62118.00,407.00,25179003.00,197,-5.00,9.00,-1.23,2.24,-0.83,479.00,252.00
17,SCB,59.98,616.00,616.00,600.00,601.00,601.00,0.00,0.00,602.56,20786.00,605.00,12524830.00,235,-4.00,16.00,-0.66,2.67,-0.26,754.00,505.00
