S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,495.00,544.00,504.00,530.00,530.00,0.00,0.00,530.38,93601.00,495.00,49644308.00,272,35.00,40.00,0.00,7.94,-0.07,0.00,0.00
2,CZBIL,-,542.00,538.00,522.00,530.00,530.00,0.00,0.00,529.05,9272.00,542.00,4905313.00,40,-12.00,16.00,0.00,3.07,0.18,0.00,0.00
3,EBL,-,3230.00,3220.00,3160.00,3192.00,3192.00,0.00,0.00,3179.82,5965.00,3230.00,18967648.00,54,-38.00,60.00,0.00,1.90,0.38,0.00,0.00
4,GBIME,-,525.00,520.00,515.00,516.00,516.00,0.00,0.00,517.12,11177.00,525.00,5779839.00,64,-9.00,5.00,0.00,0.97,-0.22,0.00,0.00
5,HBL,-,1290.00,1270.00,1252.00,1269.00,1269.00,0.00,0.00,1261.16,2102.00,1290.00,2650956.00,20,-21.00,18.00,0.00,1.44,0.62,0.00,0.00
6,KBL,-,450.00,445.00,439.00,439.00,439.00,0.00,0.00,440.92,9991.00,450.00,4405241.00,34,-11.00,6.00,0.00,1.37,-0.44,0.00,0.00
7,NABIL,-,2440.00,2480.00,2375.00,2375.00,2375.00,0.00,0.00,2418.34,5062.00,2440.00,12241614.00,45,-65.00,105.00,0.00,4.42,-1.82,0.00,0.00
8,NBL,-,280.00,279.00,270.00,270.00,270.00,0.00,0.00,274.61,16018.00,280.00,4398746.00,27,-10.00,9.00,0.00,3.33,-1.71,0.00,0.00
9,NICA,-,950.00,941.00,915.00,920.00,920.00,0.00,0.00,923.25,13136.00,950.00,12127775.00,76,-30.00,26.00,0.00,2.84,-0.35,0.00,0.00
10,PCBL,-,602.00,601.00,586.00,594.00,594.00,0.00,0.00,590.84,9502.00,602.00,5614149.00,61,-8.00,15.00,0.00,2.56,0.53,0.00,0.00
11,SANIMA,-,677.00,665.00,645.00,660.00,660.00,0.00,0.00,655.88,7036.00,677.00,4614757.00,33,-17.00,20.00,0.00,3.10,0.62,0.00,0.00
12,SBI,-,1500.00,1500.00,1450.00,1454.00,1454.00,0.00,0.00,1467.37,3199.00,1500.00,4694107.00,16,-46.00,50.00,0.00,3.45,-0.92,0.00,0.00
13,SBL,-,769.00,755.00,736.00,745.00,745.00,0.00,0.00,749.01,9431.00,769.00,7063933.00,39,-24.00,19.00,0.00,2.58,-0.54,0.00,0.00
14,SCB,-,2812.00,2780.00,2751.00,2760.00,2760.00,0.00,0.00,2757.42,5002.00,2812.00,13792614.00,32,-52.00,29.00,0.00,1.05,0.09,0.00,0.00
