S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,"ADBL
",23.73,293.00,293.00,287.20,288.33,289.00,-0.67,0.00,289.05,"25,016.00",288.44,"7,230,860.20",194,-0.11,5.80,-0.04,2.02,-0.25,428.40,249.90
2,"CZBIL
",22.10,209.50,211.00,207.40,210.31,211.00,-0.69,0.00,209.27,"51,482.00",209.31,"10,773,636.40",153,1.00,3.60,0.48,1.74,0.49,296.00,160.10
3,"EBL
",28.21,655.00,655.00,640.30,650.66,650.40,0.26,0.00,648.62,"97,899.00",645.89,"63,499,416.40",222,4.77,14.70,0.74,2.30,0.31,790.00,511.00
4,"GBIME
",35.81,229.50,247.50,229.50,241.40,243.00,-1.60,-0.01,238.93,"342,181.00",234.16,"81,755,842.20",763,7.24,18.00,3.09,7.84,1.02,302.00,170.00
5,"HBL
",26.58,219.00,224.00,218.00,221.37,222.00,-0.63,0.00,222.05,"110,386.00",218.40,"24,511,715.50",179,2.97,6.00,1.36,2.75,-0.31,312.10,172.10
6,"KBL
",27.99,209.00,214.20,207.40,211.71,212.10,-0.39,0.00,210.69,"311,581.00",208.22,"65,647,919.90",693,3.49,6.80,1.68,3.28,0.48,272.90,133.20
7,"LSL
",31.92,215.00,221.00,215.00,219.86,220.00,-0.14,0.00,217.72,"97,147.00",216.37,"21,150,918.00",268,3.49,6.00,1.61,2.79,0.97,300.00,147.70
8,"MBL
",26.57,219.00,220.70,215.50,219.56,219.00,0.56,0.00,217.46,"168,117.00",216.48,"36,558,489.00",293,3.08,5.20,1.42,2.41,0.96,295.00,164.20
9,"NABIL
",23.17,494.90,494.90,490.00,491.77,492.50,-0.73,0.00,491.94,"38,403.00",490.93,"18,891,832.90",402,0.84,4.90,0.17,1.00,-0.03,700.00,450.00
10,"NBL
",27.82,252.00,258.90,250.00,253.11,253.30,-0.19,0.00,253.60,"52,009.00",254.10,"13,189,595.50",246,-0.99,8.90,-0.39,3.56,-0.19,337.50,202.00
11,"NICA
",25.38,351.00,352.00,345.00,350.10,350.00,0.10,0.00,349.07,"125,344.00",349.81,"43,753,231.20",517,0.29,7.00,0.08,2.03,0.30,573.00,335.50
12,"NIMB
",23.57,211.00,214.00,210.00,211.97,211.10,0.87,0.00,211.26,"97,064.00",210.26,"20,506,050.70",333,1.71,4.00,0.81,1.90,0.33,295.00,149.20
13,"NMB
",26.53,240.00,251.90,238.20,241.97,243.90,-1.93,-0.01,242.27,"83,888.00",241.62,"20,323,727.30",266,0.35,13.70,0.14,5.75,-0.12,300.00,179.30
14,"PCBL
",23.28,242.00,246.40,240.00,244.52,246.40,-1.88,-0.01,243.14,"39,392.00",242.58,"9,577,684.50",166,1.94,6.40,0.80,2.67,0.57,329.00,190.10
15,"PRVU
",22.96,206.00,210.00,206.00,208.69,208.70,-0.01,0.00,208.09,"130,705.00",205.85,"27,199,003.60",412,2.84,4.00,1.38,1.94,0.29,297.00,137.00
16,"SANIMA
",33.48,317.00,321.90,311.50,319.50,318.10,1.40,0.00,316.63,"80,971.00",311.53,"25,637,637.80",257,7.97,10.40,2.56,3.34,0.90,382.00,240.00
17,"SBI
",19.51,410.00,410.00,400.50,402.99,404.50,-1.51,0.00,403.84,"10,040.00",402.09,"4,054,503.60",74,0.90,9.50,0.22,2.37,-0.21,549.00,282.30
18,"SBL
",30.41,300.00,303.00,295.00,301.66,302.90,-1.24,0.00,300.09,"76,324.00",297.40,"22,903,921.30",178,4.26,8.00,1.43,2.71,0.52,380.00,237.00
19,"SCB
",22.87,618.00,622.00,610.00,611.96,613.00,-1.04,0.00,614.72,"9,761.00",612.85,"6,000,275.00",116,-0.89,12.00,-0.15,1.97,-0.45,790.00,549.00
