S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,"ADBL
",26.51,286.00,287.00,282.10,282.91,283.00,-0.09,0.00,283.83,"21,640.00",285.99,"6,142,098.40",194,-3.08,4.90,-1.08,1.74,-0.33,428.40,226.10
2,"CZBIL
",31.84,205.00,206.90,200.00,201.75,201.50,0.25,0.00,201.68,"120,865.00",204.94,"24,375,863.50",382,-3.19,6.90,-1.56,3.45,0.04,296.00,152.50
3,"EBL
",43.45,627.00,635.00,622.00,622.59,622.10,0.49,0.00,624.59,"84,744.00",631.09,"52,930,189.20",206,-8.50,13.00,-1.35,2.09,-0.32,790.00,492.10
4,"GBIME
",29.16,219.00,219.00,215.00,216.91,217.00,-0.09,0.00,216.56,"131,955.00",219.18,"28,576,063.50",491,-2.27,4.00,-1.04,1.86,0.16,302.00,170.00
5,"HBL
",29.00,224.00,227.00,220.10,221.43,222.00,-0.57,0.00,222.14,"61,545.00",225.47,"13,671,737.40",236,-4.04,6.90,-1.79,3.13,-0.32,312.10,167.10
6,"KBL
",31.50,202.10,202.90,198.50,198.86,199.00,-0.14,0.00,199.43,"547,995.00",202.10,"109,284,280.50",966,-3.24,4.40,-1.60,2.22,-0.28,272.90,129.60
7,"LSL
",29.64,211.00,215.00,208.00,210.10,210.00,0.10,0.00,209.93,"143,319.00",213.73,"30,087,614.10",285,-3.63,7.00,-1.70,3.37,0.08,300.00,143.60
8,"MBL
",25.95,221.10,225.00,220.50,222.55,222.30,0.25,0.00,221.88,"54,381.00",222.80,"12,066,233.80",150,-0.25,4.50,-0.11,2.04,0.30,295.00,157.80
9,"NABIL
",29.80,487.00,488.00,482.00,486.77,486.00,0.77,0.00,484.38,"65,014.00",487.76,"31,491,464.60",492,-0.99,6.00,-0.20,1.24,0.49,700.00,419.00
10,"NBL
",35.78,257.00,257.00,252.00,252.94,252.80,0.14,0.00,253.47,"62,445.00",256.36,"15,828,187.50",286,-3.42,5.00,-1.33,1.98,-0.21,337.50,195.10
11,"NICA
",30.21,365.00,365.00,357.00,358.22,357.40,0.82,0.00,359.81,"81,937.00",365.22,"29,481,572.00",410,-7.00,8.00,-1.92,2.24,-0.44,573.00,341.60
12,"NIMB
",33.55,210.30,213.00,204.90,208.28,208.00,0.28,0.00,206.92,"390,865.00",211.52,"80,877,641.80",719,-3.24,8.10,-1.53,3.95,0.65,295.00,147.40
13,"NMB
",26.74,249.00,249.00,243.50,243.82,245.00,-1.18,0.00,244.80,"53,667.00",247.57,"13,137,483.50",304,-3.75,5.50,-1.51,2.26,-0.40,300.00,162.00
14,"PCBL
",25.45,247.10,250.00,245.90,246.01,247.80,-1.79,-0.01,246.60,"27,237.00",249.48,"6,716,520.50",171,-3.47,4.10,-1.39,1.67,-0.24,329.00,188.30
15,"PRVU
",30.95,204.00,205.00,202.00,203.16,202.90,0.26,0.00,203.48,"243,669.00",205.69,"49,581,119.80",680,-2.53,3.00,-1.23,1.49,-0.16,297.00,132.00
16,"SANIMA
",41.46,310.00,312.40,308.10,309.29,310.00,-0.71,0.00,309.56,"62,979.00",312.19,"19,496,040.50",233,-2.90,4.30,-0.93,1.40,-0.09,382.00,228.00
17,"SBI
",26.31,410.00,417.80,408.00,409.59,413.90,-4.31,-0.01,410.96,"31,320.00",416.03,"12,871,251.10",132,-6.44,9.80,-1.55,2.40,-0.33,549.00,269.00
18,"SBL
",33.55,275.00,276.50,272.30,272.79,272.30,0.49,0.00,274.26,"78,824.00",277.49,"21,618,221.30",205,-4.70,4.20,-1.69,1.54,-0.54,380.00,214.00
19,"SCB
",31.81,637.90,637.90,609.10,620.10,623.00,-2.90,0.00,617.40,"33,745.00",627.51,"20,834,073.40",258,-7.41,28.80,-1.18,4.73,0.44,790.00,511.00
