S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,49.07,302.90,310.90,302.90,304.30,304.30,0.00,0.00,306.75,"74,386.00",309.00,"22,817,879.80",297,-4.70,8.00,-1.52,2.64,-0.81,428.40,223.00
2,CZBIL,48.92,224.00,228.00,222.00,223.80,223.80,0.00,0.00,225.24,"133,812.00",226.00,"30,139,265.60",334,-2.20,6.00,-0.97,2.70,-0.64,296.00,152.50
3,EBL,43.68,638.00,645.00,629.20,632.00,632.00,0.00,0.00,634.65,"69,964.00",638.00,"44,402,975.80",284,-6.00,15.80,-0.94,2.51,-0.42,790.00,487.30
4,GBIME,50.83,226.60,251.00,226.60,232.00,232.00,0.00,0.00,231.14,"319,940.00",231.20,"73,951,740.50",989,0.80,24.40,0.35,10.77,0.37,302.00,170.00
5,HBL,51.67,252.90,252.90,245.00,246.10,246.10,0.00,0.00,248.09,"219,869.00",248.00,"54,547,111.40",286,-1.90,7.90,-0.77,3.22,-0.81,312.10,167.10
6,KBL,43.53,215.20,222.00,215.20,216.00,216.00,0.00,0.00,218.82,"400,938.00",219.50,"87,732,605.60",899,-3.50,6.80,-1.59,3.16,-1.30,272.90,129.60
7,LSL,36.65,230.80,238.00,230.80,232.70,232.70,0.00,0.00,235.00,"199,406.00",235.50,"46,861,127.10",343,-2.80,7.20,-1.19,3.12,-0.99,300.00,143.60
8,MBL,47.17,241.20,245.30,238.50,241.50,241.50,0.00,0.00,241.89,"151,032.00",244.00,"36,533,829.80",340,-2.50,6.80,-1.02,2.85,-0.16,295.00,157.80
9,NABIL,49.90,520.00,520.00,504.00,507.00,507.00,0.00,0.00,508.41,"116,499.00",515.00,"59,229,782.70",711,-8.00,16.00,-1.55,3.17,-0.28,700.00,419.00
10,NBL,49.11,270.00,271.00,260.00,264.70,264.70,0.00,0.00,263.95,"119,352.00",268.00,"31,503,312.00",405,-3.30,11.00,-1.23,4.23,0.28,337.50,195.10
11,NICA,47.60,405.00,409.00,397.00,397.00,397.00,0.00,0.00,399.53,"81,739.00",404.00,"32,657,421.10",555,-7.00,12.00,-1.73,3.02,-0.64,573.00,341.60
12,NIMB,41.29,224.70,233.50,224.70,226.20,226.20,0.00,0.00,227.70,"208,337.00",229.20,"47,438,233.10",545,-3.00,8.80,-1.31,3.92,-0.66,295.00,147.40
13,NMB,45.06,260.00,268.00,260.00,264.80,264.80,0.00,0.00,265.10,"124,295.00",265.10,"32,951,115.00",394,-0.30,8.00,-0.11,3.08,-0.11,300.00,162.00
14,PCBL,48.86,270.00,272.00,263.00,267.00,267.00,0.00,0.00,267.90,"168,751.00",272.00,"45,208,205.70",357,-5.00,9.00,-1.84,3.42,-0.34,329.00,186.00
15,PRVU,49.69,231.20,233.90,227.00,228.00,228.00,0.00,0.00,228.97,"280,997.00",231.20,"64,339,152.30",635,-3.20,6.90,-1.38,3.04,-0.42,297.00,132.00
16,SANIMA,43.62,324.00,324.00,314.00,315.20,315.20,0.00,0.00,315.47,"133,010.00",318.20,"41,961,273.90",346,-3.00,10.00,-0.94,3.18,-0.09,382.00,228.00
17,SBI,47.08,432.00,433.00,425.10,429.00,429.00,0.00,0.00,427.52,"45,037.00",430.00,"19,254,129.00",159,-1.00,7.90,-0.23,1.86,0.35,549.00,268.60
18,SBL,49.18,298.00,314.00,298.00,305.00,305.00,0.00,0.00,303.52,"129,395.00",304.00,"39,274,058.30",224,1.00,16.00,0.33,5.37,0.49,380.00,214.00
19,SCB,45.02,677.00,678.00,665.00,665.00,665.00,0.00,0.00,668.99,"37,008.00",677.10,"24,758,110.70",307,-12.10,13.00,-1.79,1.95,-0.60,790.00,508.00
