S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,25.57,294.00,294.00,289.00,289.97,290.00,-0.03,0.00,291.34,"23,865.00",288.45,"6,952,798.40",178,1.52,5.00,0.53,1.73,-0.47,428.40,223.00
2,CZBIL,26.93,217.90,217.90,209.10,209.73,209.90,-0.17,0.00,211.07,"55,760.00",213.68,"11,769,503.00",205,-3.95,8.80,-1.85,4.21,-0.64,296.00,152.50
3,EBL,43.28,620.00,620.00,608.20,613.88,613.00,0.88,0.00,612.78,"27,536.00",609.08,"16,873,480.50",137,4.80,11.80,0.79,1.94,0.18,790.00,492.10
4,GBIME,42.87,223.00,223.00,219.00,219.83,220.00,-0.17,0.00,219.78,"131,743.00",219.09,"28,953,926.60",310,0.74,4.00,0.34,1.83,0.02,302.00,170.00
5,HBL,30.78,237.00,237.60,230.30,232.38,231.00,1.38,0.01,234.01,"42,385.00",233.01,"9,918,677.10",195,-0.63,7.30,-0.27,3.17,-0.70,312.10,167.10
6,KBL,25.83,212.00,212.00,207.50,208.36,208.90,-0.54,0.00,208.57,"215,275.00",208.22,"44,900,379.10",331,0.14,4.50,0.07,2.17,-0.10,272.90,129.60
7,LSL,44.31,222.80,223.00,216.70,222.49,222.40,0.09,0.00,219.89,"126,738.00",218.47,"27,868,588.90",221,4.02,6.30,1.84,2.91,1.17,300.00,143.60
8,MBL,41.49,229.00,230.60,225.00,227.89,229.90,-2.01,-0.01,227.73,"46,859.00",227.08,"10,671,366.50",137,0.81,5.60,0.36,2.49,0.07,295.00,157.80
9,NABIL,42.76,497.00,497.00,488.00,489.31,490.00,-0.69,0.00,489.68,"43,376.00",487.96,"21,240,560.50",423,1.35,9.00,0.28,1.84,-0.08,700.00,419.00
10,NBL,39.09,255.00,255.00,250.00,251.22,250.60,0.62,0.00,250.85,"33,497.00",250.58,"8,402,807.30",146,0.64,5.00,0.26,2.00,0.15,337.50,195.10
11,NICA,40.92,385.00,385.00,377.00,377.87,377.90,-0.03,0.00,378.02,"26,891.00",378.78,"10,165,385.00",151,-0.91,8.00,-0.24,2.12,-0.04,573.00,341.60
12,NIMB,31.79,217.00,217.00,210.00,212.56,212.50,0.06,0.00,212.81,"31,308.00",212.79,"6,662,656.00",198,-0.23,7.00,-0.11,3.33,-0.12,295.00,147.40
13,NMB,40.44,254.00,256.00,251.30,254.39,253.50,0.89,0.00,254.21,"37,015.00",252.34,"9,409,425.80",170,2.05,4.70,0.81,1.87,0.07,300.00,162.00
14,PCBL,35.43,256.00,256.00,251.00,252.54,252.60,-0.06,0.00,252.81,"42,784.00",251.56,"10,816,395.90",138,0.98,5.00,0.39,1.99,-0.11,329.00,186.90
15,PRVU,38.29,213.70,213.70,208.40,209.50,210.70,-1.20,-0.01,209.32,"137,116.00",209.51,"28,701,143.50",394,-0.01,5.30,0.00,2.54,0.09,297.00,132.00
16,SANIMA,45.54,309.00,309.00,300.00,303.72,305.00,-1.28,0.00,303.90,"70,491.00",303.14,"21,422,016.50",183,0.58,9.00,0.19,3.00,-0.06,382.00,228.00
17,SBI,43.01,428.60,430.00,418.00,428.86,429.80,-0.94,0.00,425.75,"39,718.00",420.25,"16,909,983.90",191,8.61,12.00,2.05,2.87,0.72,549.00,268.60
18,SBL,41.93,290.00,290.00,284.60,288.77,290.00,-1.23,0.00,286.23,"15,599.00",284.95,"4,464,954.50",107,3.82,5.40,1.34,1.90,0.88,380.00,214.00
19,SCB,37.78,643.00,643.00,632.10,634.32,634.20,0.12,0.00,635.49,"13,474.00",631.07,"8,562,541.30",118,3.25,10.90,0.51,1.72,-0.18,790.00,511.00
