S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,"ADBL
",40.30,296.00,297.00,288.20,290.92,291.00,-0.08,0.00,290.60,"37,196.00",291.96,"10,809,294.50",190,-1.04,8.80,-0.36,3.05,0.11,428.40,225.00
2,"CZBIL
",24.93,213.00,215.90,209.10,209.51,209.50,0.01,0.00,211.06,"45,422.00",212.68,"9,586,738.50",163,-3.17,6.80,-1.49,3.25,-0.74,296.00,152.50
3,"EBL
",46.38,631.00,631.00,620.00,625.05,625.50,-0.45,0.00,624.80,"63,635.00",619.09,"39,759,228.70",349,5.96,11.00,0.96,1.77,0.04,790.00,492.10
4,"GBIME
",45.00,227.00,231.00,221.70,222.80,222.20,0.60,0.00,224.21,"182,192.00",222.62,"40,849,093.00",627,0.18,9.30,0.08,4.19,-0.63,302.00,170.00
5,"HBL
",44.11,233.10,236.00,230.80,233.62,234.90,-1.28,-0.01,232.38,"67,924.00",237.79,"15,784,073.50",239,-4.17,5.20,-1.75,2.25,0.53,312.10,167.10
6,"KBL
",28.81,211.00,211.00,204.00,205.96,206.00,-0.04,0.00,206.73,"239,347.00",211.03,"49,479,359.80",618,-5.07,7.00,-2.40,3.43,-0.37,272.90,129.60
7,"LSL
",32.29,226.00,226.00,215.00,216.31,216.30,0.01,0.00,218.92,"161,304.00",223.65,"35,312,297.60",296,-7.34,11.00,-3.28,5.12,-1.21,300.00,143.60
8,"MBL
",42.67,233.00,234.00,227.80,228.68,228.00,0.68,0.00,230.04,"82,568.00",230.12,"18,993,680.00",223,-1.44,6.20,-0.63,2.72,-0.59,295.00,157.80
9,"NABIL
",45.75,500.00,501.20,490.00,492.09,492.00,0.09,0.00,493.55,"79,228.00",494.38,"39,103,117.80",605,-2.29,11.20,-0.46,2.29,-0.30,700.00,419.00
10,"NBL
",46.45,257.80,273.00,257.80,259.21,260.50,-1.29,0.00,262.63,"406,445.00",252.79,"106,744,558.10","1,508",6.42,15.20,2.54,5.90,-1.32,337.50,195.10
11,"NICA
",29.72,375.50,375.50,369.00,369.81,370.00,-0.19,0.00,371.46,"122,259.00",383.07,"45,413,718.40",680,-13.26,6.50,-3.46,1.76,-0.44,573.00,341.60
12,"NIMB
",44.27,219.40,223.50,215.00,216.29,216.20,0.09,0.00,217.57,"114,711.00",215.19,"24,957,288.50",496,1.10,8.50,0.51,3.95,-0.59,295.00,147.40
13,"NMB
",39.60,259.00,259.00,252.00,253.39,253.10,0.29,0.00,254.23,"62,621.00",258.18,"15,919,993.40",171,-4.79,7.00,-1.86,2.78,-0.33,300.00,162.00
14,"PCBL
",44.98,267.00,267.00,253.90,254.09,253.90,0.19,0.00,257.02,"113,491.00",262.24,"29,169,967.00",416,-8.15,13.10,-3.11,5.16,-1.15,329.00,187.60
15,"PRVU
",41.98,213.00,216.00,209.00,209.57,209.90,-0.33,0.00,211.14,"130,227.00",212.86,"27,496,444.40",458,-3.29,7.00,-1.55,3.35,-0.75,297.00,132.00
16,"SANIMA
",46.81,310.00,313.00,307.00,309.54,309.50,0.04,0.00,309.86,"113,708.00",306.23,"35,233,967.30",306,3.31,6.00,1.08,1.95,-0.10,382.00,228.00
17,"SBI
",47.73,425.00,451.00,418.00,442.68,433.20,9.48,0.02,425.60,"123,884.00",426.06,"52,725,586.70",178,16.62,33.00,3.90,7.89,3.86,549.00,268.60
18,"SBL
",44.50,285.60,301.00,283.10,286.08,287.00,-0.92,0.00,287.62,"34,008.00",291.40,"9,781,406.60",121,-5.32,17.90,-1.83,6.32,-0.54,380.00,214.00
19,"SCB
",41.53,636.00,636.00,622.30,630.07,629.90,0.17,0.00,629.40,"32,096.00",635.87,"20,201,231.60",289,-5.80,13.70,-0.91,2.20,0.11,790.00,511.00
