1,ADBL,22.64,332.80,332.80,326.00,331.31,332.70,-1.39,0.00,329.44,"45,857.00",326.28,"15,106,965.60",271,5.03,6.80,1.54,2.09,0.57,400.00,272.30
2,CZBIL,37.79,206.40,212.00,206.40,211.08,211.80,-0.72,0.00,209.88,"47,700.00",207.14,"10,011,219.30",160,3.94,5.60,1.90,2.71,0.57,265.30,196.00
3,EBL,41.27,749.00,753.00,746.20,751.56,751.90,-0.34,0.00,750.41,"95,651.00",748.45,"71,777,378.90",416,3.11,6.80,0.42,0.91,0.15,775.00,567.00
4,GBIME,42.30,255.60,256.00,250.00,255.29,254.50,0.79,0.00,252.86,"281,403.00",250.64,"71,155,089.10",566,4.65,6.00,1.86,2.40,0.95,278.90,210.70
5,HBL,35.72,212.60,212.60,207.90,211.27,212.00,-0.73,0.00,209.64,"74,048.00",208.48,"15,523,188.70",291,2.79,4.70,1.34,2.26,0.77,286.00,207.70
6,KBL,38.30,205.00,205.00,201.00,203.93,204.40,-0.47,0.00,202.82,"232,096.00",201.07,"47,074,870.10",631,2.86,4.00,1.42,1.99,0.54,253.50,192.10
7,LSL,39.59,240.20,240.20,233.00,237.99,238.90,-0.91,0.00,237.41,"105,756.00",235.56,"25,107,999.80",190,2.43,7.20,1.03,3.09,0.24,279.40,201.00
8,MBL,38.39,251.50,253.90,247.00,252.18,252.00,0.18,0.00,251.76,"72,345.00",246.64,"18,213,350.50",196,5.54,6.90,2.25,2.79,0.17,290.00,208.60
9,NABIL,41.14,539.90,539.90,526.50,533.87,533.50,0.37,0.00,530.04,"64,476.00",529.35,"34,175,100.60",543,4.52,13.40,0.85,2.55,0.72,640.00,474.10
10,NBL,33.77,256.50,256.50,250.70,255.10,255.40,-0.30,0.00,254.13,"65,291.00",251.55,"16,592,563.10",283,3.55,5.80,1.41,2.31,0.38,313.00,239.20
11,NICA,36.27,351.40,352.90,345.20,351.44,352.50,-1.06,0.00,349.51,"75,720.00",344.53,"26,464,709.20",373,6.91,7.70,2.01,2.23,0.55,525.00,333.00
12,NIMB,36.02,213.40,213.70,209.00,213.18,213.50,-0.32,0.00,211.71,"106,943.00",209.31,"22,641,359.80",334,3.87,4.70,1.85,2.25,0.69,271.40,201.00
13,NMB,39.93,254.90,254.90,249.20,253.27,253.50,-0.23,0.00,252.36,"89,528.00",249.92,"22,593,629.80",209,3.35,5.70,1.34,2.29,0.36,288.00,230.00
14,PCBL,41.10,261.30,261.30,255.30,260.54,261.00,-0.46,0.00,258.99,"67,388.00",256.23,"17,452,851.80",232,4.31,6.00,1.68,2.35,0.59,308.00,229.50
15,PRVU,34.11,214.80,214.80,210.60,213.77,214.80,-1.03,0.00,213.13,"115,402.00",210.68,"24,595,754.30",429,3.09,4.20,1.47,1.99,0.30,273.00,194.10
16,SANIMA,39.83,375.50,375.50,365.00,371.23,371.30,-0.07,0.00,369.58,"115,913.00",368.17,"42,839,498.10",382,3.06,10.50,0.83,2.88,0.44,391.00,285.00
17,SBI,38.23,386.00,394.70,386.00,394.10,394.70,-0.60,0.00,392.42,"18,563.00",386.84,"7,284,576.00",103,7.26,8.70,1.88,2.25,0.43,549.00,372.20
18,SBL,42.30,369.30,375.00,362.00,371.47,373.00,-1.53,0.00,370.69,"107,818.00",362.10,"39,966,562.40",255,9.37,13.00,2.59,3.59,0.21,408.00,261.00
19,SCB,35.17,634.00,634.00,625.60,631.31,631.50,-0.19,0.00,629.49,"8,359.00",626.45,"5,261,878.00",98,4.86,8.40,0.78,1.34,0.29,779.20,597.10
